Special Bonuses by Group

Bonus Stat	Name Add	Prefix	Weap	Staff	Miss	Arm	Shld	Helm	Belt	Cape	Gaunt	Boot	Ring	Amul	Robe	Crown	Value	Lvl	Craft	Craft description	Description fo special Bonuses and values

+10 to all Resistances.	of Protection	N	0	10	0	10	10	10	0	10	0	0	10	10	10	10	1000	B	384	Day of Protection scroll	(+10) on all four resistances
+10 to all Seven Statistics.	of The Gods	N	5	10	5	10	10	10	10	10	10	10	10	10	10	10	1500	C	382	Day of the Gods scroll	(+10) on all 7 stats
Explosive Impact!	of Carnage	N	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5000	D	396	Dragon Breath scroll	"projectile explodes (fireball radius,dmg=weapdmg)"
Adds 3-^H[4;8] points of Cold damage.	of Cold	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	325	Ice Bolt scroll	(3-4) cold damage
Adds 6-^H[8;16] points of Cold damage.	of Frost	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	331	Ice Blast scroll	(6-8) cold damage
Adds 9-^H[12;24] points of Cold damage.	of Ice	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	247	Freezing potion	(9-12) cold damage
Adds 2-^H[5;10] points of Electrical damage.	of Sparks	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	314	Sparks scroll	(2-5) elec damage
Adds 4-^H[10;20] points of Electrical damage.	of Lightning	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	317	Lightning Bolt scroll	(4-10) elec damage
Adds 6-^H[15;30] points of Electrical damage.	of Thunderbolts	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	249	Shocking potion	(6-15) elec damage
Adds 1-^H[6;12] points of Fire damage.	of Fire	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	301	Fire Bolt scroll	(1-6) fire damage
Adds 2-^H[12;24] points of Fire damage.	of Flame	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	303	Fire Aura scroll	(2-12) fire damage
Adds 3-^H[18;36] points of Fire damage.	of Infernos	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	246	Flaming potion	(3-18) fire damage
Adds ^H[5;8] points of Poison damage.	of Poison	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	323	Poison Spray scroll	(5) pois damage
Adds ^H[8;12] points of Poison damage.	of Venom	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	328	Acid Burst scroll	(8) pois damage
Adds ^H[12;18] points of Poison damage.	of Acid	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	248	Noxious potion	(12) pois damage
Drain Hit Points from target.	Vampiric	Y	5	5	5	0	0	0	0	0	0	0	0	0	0	0	X 2	D	390	Vampiric Weapon scroll	Heal 20% of damage done on attack
Increases rate of Recovery.	of Recovery	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	B	250	Swift potion (unused)	(-10) pts on recovery from being hit
Wearer resistant to Diseases.	of Immunity	N	0	0	0	10	10	10	10	10	0	0	10	10	10	10	1000	C	225	Cure Disease potion	Immune to desease condition
Wearer resistant to Insanity.	of Sanity	N	0	0	0	5	5	5	5	5	0	0	5	5	5	5	1000	C	239	Cure Insanity potion	immune to insanity condition
Wearer resistant to Paralysis.	of Freedom	N	0	0	0	10	10	10	10	10	0	0	10	10	10	10	2000	D	360	Cure Paralysis scroll	immune to paralize condition
Wearer resistant to Poison.	of Antidotes	N	0	0	0	10	10	10	10	10	0	0	10	10	10	10	1000	C	371	Cure Poison scroll	immune to poison condition
Wearer resistant to Sleep.	of Alarms	N	0	0	0	10	10	10	10	10	0	0	10	10	10	10	500	B	322	Awaken scroll	immune to sleep condition
Wearer resistant to Stone.	of The Medusa	N	0	0	0	5	5	5	5	5	0	0	5	5	5	5	2000	D	251	Stone to Flesh potion	immune to stone condition
Increased Knockback.	of Force	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	A	333	Stun scroll (unused)	Increase knockback effect (X10)
Adds +3 to temporary character level.	of Power	N	0	0	0	0	0	0	0	0	0	0	0	5	10	5	3000	D	279	Divine Mastery potion	(+3) char level
Increases effect of all Air spells.	of Air Magic	N	0	20	0	0	0	0	0	0	0	0	10	10	20	10	2000	D	421	Starburst spellbook	50% increase of spell effect and duration
Increases effect of all Body spells.	of Body Magic	N	0	20	0	0	0	0	0	0	0	0	10	10	20	10	2000	D	476	Power Cure spellbook	50% increase of spell effect and duration
Increases effect of all Dark spells.	of Dark Magic	N	0	20	0	0	0	0	0	0	0	0	10	10	20	10	2000	D	497	Armageddon spellbook	50% increase of spell effect and duration
Increases effect of all Earth spells.	of Earth Magic	N	0	20	0	0	0	0	0	0	0	0	10	10	20	10	2000	D	443	Mass Distortion spellbook	50% increase of spell effect and duration
