	Name	Description	Effect
200	Widowsweep Berries	Reagent	+ Bottle = Red Potion +1
201	Crushed Rose Petals	Reagent	+ Bottle = Red Potion +5
202	Vial of Troll Blood	Reagent	+ Bottle = Red Potion +10
203	Ruby	Reagent	+ Bottle = Red Potion +20
204	Dragon's Eye	Reagent	+ Bottle = Red Potion +50
205	Phirna Root	Reagent	+ Bottle = Blue Potion +1
206	Meteorite Fragment	Reagent	+ Bottle = Blue Potion +5
207	Harpy Feather	Reagent	+ Bottle = Blue Potion +10
208	Moonstone	Reagent	+ Bottle = Blue Potion +20
209	Elvish Toadstool	Reagent	+ Bottle = Blue Potion +50
210	Poppysnaps	Reagent	+ Bottle = Yellow Potion +1
211	Fae Dust	Reagent	+ Bottle = Yellow Potion +5
212	Sulfur	Reagent	+ Bottle = Yellow Potion +10
213	Garnet	Reagent	+ Bottle = Yellow Potion +20
214	Vial of Devil Ichor	Reagent	+ Bottle = Yellow Potion +50
215	Mushroom	Reagent	+ Bottle = Gray Potion +1
216	Obsidian	Reagent	+ Bottle = Gray Potion +5
217	Vial of Ooze Endoplasm	Reagent	+ Bottle = Gray Potion +10
218	Mercury	Reagent	+ Bottle = Gray Potion +20
219	Philosopher's Stone	Reagent	+ Bottle = Gray Potion +75
220	Potion Bottle	Empty Bottle	None				222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271
221	Catalyst	Gray Potion	Boost Potion				Red	Blue	Yel	Ora	Pur	Grn	R/O	R/P	R/G	B/O	B/P	B/G	Y/O	Y/P	Y/G	O/P	P/G	O/G	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10
222	Cure Wounds	Red Potion	Heal 10+skill HP	1	0	0	no	226	225	228	229	230	222	222	E1	E1	221	E1	221	E1	E1	221	221	221	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
223	Awaken	Blue Potion	Remove Sleep cond	0	1	0	226	no	227	231	232	233	E1	221	E1	E1	223	223	E1	E1	221	221	221	221	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
224	Cure Weakness	Yellow Potion	Remove Weak cond	0	0	1	225	227	no	234	235	236	221	E1	E1	E1	E1	221	224	E1	224	221	221	221	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
225	Cure Disease	Orange Potion	"Remove Disease 1,2,3 cond"	1	0	1	228	231	234	no	237	239	244	249	222	223	247	248	245	224	251	221	221	221	270	266	E3	E3	E3	E3	E3	E3	E3	221	E3	221	221	E3	E3	E3	E3	273	221	E3	221	275	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
226	Cure Poison	Purple Potion	"Remove Poison 1,2,3 cond"	1	1	0	229	232	235	237	no	238	249	240	222	223	243	250	246	224	248	221	221	221	E3	E3	268	E3	265	E3	E3	E3	E3	221	221	E3	221	E3	E3	E3	221	E3	274	277	E3	221	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
227	Magic Potion	Green Potion	Restore SP=power	0	1	1	230	233	236	239	238	no	246	247	222	223	250	242	251	224	241	221	221	221	E3	E3	E3	267	E3	269	E3	E3	E3	E3	221	221	221	E3	E3	E3	272	221	E3	221	276	E3	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
228	Haste	Red and Orange Potion	Cast Haste	2	0	1	222	E1	221	244	249	246	no	E2	222	223	257	252	253	224	256	E2	E2	E2	E3	E3	221	E3	E3	E3	E3	E3	278	E3	221	E3	E3	E3	E3	E3	E3	E3	221	E3	E3	E3	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
229	Heroism	Red and Purple Potion	Cast Heroism	2	1	0	222	221	E1	249	240	247	E2	no	222	223	255	260	259	224	252	E2	E2	E2	E3	221	E3	E3	E3	E3	E3	E3	221	E3	E3	262	E3	E3	E3	E3	E3	E3	E3	E3	E3	221	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
230	Bless	Red and Green Potion	Cast Bless	1	1	1	E1	E1	E1	222	222	222	222	222	no	E2	222	222	222	E2	222	E2	E2	E2	E3	E3	E3	E3	E3	E3	222	222	222	E3	E3	E3	271	E3	E3	E3	E3	E3	E3	E3	E3	E3	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
231	Preservation	Blue and Orange Potion	Cast Preservation	1	1	1	E1	E1	E1	223	223	223	223	223	E2	no	223	223	223	E2	223	E2	E2	E2	E3	E3	E3	E3	E3	E3	223	223	223	E3	E3	E3	271	E3	E3	E3	E3	E3	E3	E3	E3	E3	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
232	Shield	Blue and Purple Potion	Cast Shield	1	2	0	221	223	E1	247	243	250	257	255	222	223	no	E2	252	224	258	E2	E2	E2	E3	E3	E3	E3	E3	221	263	E3	E3	E3	E3	221	E3	E3	E3	E3	221	E3	E3	E3	E3	E3	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
233	Recharge	Blue and Green Potion	Cast Protection	0	2	1	E1	223	221	248	250	242	252	260	222	223	E2	no	261	224	254	E2	E2	E2	E3	E3	E3	E3	221	E3	221	E3	E3	221	E3	E3	E3	E3	E3	279	E3	E3	E3	221	E3	E3	E4	E4	E4	E4	E4	E4	E4	E4	E4	E4
