Random Item Generation By Treasure Level 1 - 6
		Chance By Level
Item #	Pic File	1	2	3	4	5	6
0
1	lsword1	5	5	2	0	0	0
2	lsword2	2	10	5	2	0	0
3	lsword3	0	2	10	7	1	0
4	lsword4	0	0	5	10	5	0
5	lsword5	0	0	0	2	7	10
6	item006	2	5	10	5	2	0
7	2hsword2	0	2	5	10	2	0
8	2hsword3	0	0	2	5	10	10
9	item009	5	10	2	0	0	0
10	brsword2	0	0	10	5	2	0
11	brsword3	0	0	0	0	5	10
12	item012	10	5	2	0	0	0
13	cutlass2	0	4	10	5	0	0
14	cutlass3	0	0	0	5	10	10
15	item015	10	10	5	0	0	0
16	dagger2	5	10	5	0	0	0
17	dagger3	0	5	10	10	5	0
18	dagger4	0	0	5	10	5	0
19	dagger5	0	0	0	5	10	15
20	ldagger1	5	10	10	5	0	0
21	ldagger2	0	2	5	10	5	0
22	ldagger3	0	0	0	0	5	10
23	axe1	10	5	2	0	0	0
24	axe2	5	10	5	2	0	0
25	axe3	0	5	10	5	2	0
26	axe4	0	0	5	10	5	0
27	axe5	0	0	0	2	5	10
28	2haxe1	2	5	10	5	2	0
29	2haxe2	0	2	5	10	2	0
30	2haxe3	0	0	2	5	10	10
31	item026	10	10	2	0	0	0
32	item027	5	5	10	5	0	0
33	spear3	0	0	5	10	5	0
34	item034	0	0	2	5	10	0
35	spear5	0	0	0	2	5	10
36	halberd1	0	5	10	5	2	0
37	halberd3	0	0	5	10	5	0
38	halberd2	0	0	0	2	5	10
39	item034	5	10	2	0	0	0
40	trident2	0	0	10	5	5	0
41	trident3	0	0	0	2	5	10
42	bow1	5	10	5	0	0	0
43	bow2	0	10	20	10	5	0
44	bow3	0	5	10	15	5	2
45	bow4	0	0	5	10	20	10
46	bow5	0	0	0	5	10	15
47	crsbow1	5	10	5	0	0	0
48	crsbow2	0	0	10	10	10	0
49	crsbow3	0	0	0	10	10	15
50	item045	10	5	2	0	0	0
51	item045	5	10	5	2	0	0
52	item045	0	2	5	10	5	0
53	item046	0	0	2	5	10	5
54	item046	0	0	0	2	5	10
55	hammer1	10	10	5	0	0	0
56	hammer2	0	0	5	10	5	0
57	hammer3	0	0	0	0	5	15
58	club1	10	5	2	0	0	0
59	club2	0	2	7	5	0	0
60	club3	0	0	5	10	5	0
61	staff1	5	10	5	0	0	0
62	staff2	0	0	10	5	2	0
63	staff3	0	0	0	2	5	10
64	raygun1	0	0	0	0	0	0
65	raygun2	0	0	0	0	0	0
66	lr1icon	25	35	0	0	0	0
67	lr2icon	0	25	35	25	0	0
68	lr3icon	0	0	25	35	25	0
69	lr4icon	0	0	0	25	35	25
70	lr5icon	0	0	0	0	25	35
71	chn1icon	5	15	25	0	0	0
72	chn2icon	0	10	25	10	0	0
73	chn3icon	0	0	10	25	10	0
74	chn4icon	0	0	0	10	25	10
75	chn5icon	0	0	0	0	10	35
76	pl1icon	0	5	10	25	10	0
77	pl2icon	0	0	0	10	25	10
78	pl3icon	0	0	0	0	10	35
79	lshield1	10	10	5	0	0	0
80	lshield2	5	10	5	0	0	0
81	lshield3	0	0	10	5	0	0
82	lshield4	0	0	5	10	10	5
83	lshield5	0	0	0	0	10	20
84	sshield1	15	15	5	0	0	0
85	sshield2	5	10	5	0	0	0
86	sshield3	0	0	10	5	0	0
87	sshield4	0	0	5	10	15	10
88	sshield5	0	0	0	0	10	20
89	helm1	10	15	2	0	0	0
90	hlm2icon	5	10	15	5	0	0
91	hlm3icon	0	0	10	15	5	0
92	hlm4icon	0	0	5	10	15	5
93	hlm5icon	0	0	0	5	10	20
94	hat1a	10	5	0	0	0	0
95	hat2a	5	10	5	0	0	0
96	hat3a	2	10	10	5	0	0
97	crown1a	0	5	10	10	5	0
98	crown2a	0	0	5	10	10	5
99	crown3a	0	0	0	5	10	20
100	belt1a	0	10	5	5	2	0
101	belt2a	0	5	10	5	5	0
102	belt3a	0	0	5	10	5	0
103	belt4a	0	0	5	5	10	10
104	belt5a	0	0	2	5	10	20
105	cape1a	5	10	15	10	5	0
106	cape2a	5	10	15	10	5	0
107	cape3a	0	0	10	15	10	0
108	cape4a	0	0	5	10	15	10
109	cape5a	0	0	2	5	10	20
110	gontlet1	5	15	5	5	2	0
111	gontlet2	5	10	15	10	5	0
112	gontlet3	0	0	10	15	10	0
113	gontlet4	0	0	5	10	15	10
114	gontlet5	0	0	2	5	10	20
115	boots1	10	15	10	5	2	0
116	boots2	0	10	15	10	5	0
117	boots3	0	0	5	10	15	0
