Map	X-	X+	Y-	Y+	Z-	Z+	Comment
Total	62
out01.odm	1400	17000	6300	10700	*	*	village north & west
out01.odm	10400	15000	-2000	9000	*	*	village south
out01.odm	14500	16400	15000	16800	*	*	house near dragon cave
out02.odm	-15500	-3000	7500	17000	*	*	most of town
out02.odm	-11500	-7000	17000	20000	*	*	town north (guilds)
out02.odm	-20000	-15500	10000	14500	*	*	near castle
out02.odm	-19000	-15000	3000	5000	*	*	two houses south of town
out02.odm	-13000	-8500	-9600	-5000	*	*	village
out03.odm	-15000	-4500	-500	12000	*	*	most of town
out03.odm	-12500	-8500	12000	16000	*	*	town north (dock)
out03.odm	-18500	-15000	3500	12000	*	*	town west
out03.odm	-1500	2500	4000	12000	*	*	east of town (castle, guilds)
out03.odm	19500	22500	15000	19000	*	*	northern village
out03.odm	14500	17500	-12000	-9500	*	*	southern village
out04.odm	-20000	-6000	-15500	-3000	*	*	most of town (platforms)
out04.odm	-19000	-15000	-18500	-15500	*	*	town south houses
out04.odm	-10000	2000	-8500	-2000	*	*	town northeast (stables etc.)
out04.odm	-1500	1500	-15500	-12000	*	*	pier east of town
out05.odm	1500	8700	-18500	-14500	*	*	village south
out05.odm	3500	8700	-14500	-10500	*	*	village north
out05.odm	-19200	-16500	-5100	-2700	*	*	small western village
out05.odm	-20000	-13300	14500	19000	*	*	most of town
out05.odm	-20000	-14800	12800	14500	*	*	town south
out06.odm	-7700	-3600	13800	17000	*	*	teleport hub
out06.odm	-10200	-9200	8200	11000	*	*	teleport to celeste
out06.odm	7500	11000	15500	19200	*	*	around the stables
out06.odm	14200	22000	-22000	-18000	*	*	around the dock
out06.odm	300	3000	-17500	-15500	*	*	school of sorcery
out06.odm	3100	7300	-8600	-5200	*	*	village
out06.odm	2600	3500	16600	19400	*	*	temple
out06.odm	-13300	-12300	18000	18900	*	*	tavern
out06.odm	-18400	-17400	13400	14400	*	*	light guild
out06.odm	-22300	-20800	5400	6800	*	*	water guild
out06.odm	-13300	-12300	-12800	-11800	*	*	magic shop
out06.odm	-19500	-18300	-6000	-5000	*	*	potion shop
d25.blv	*	*	*	*	*	*	celeste
d26.blv	*	*	*	*	*	*	the pit
out09.odm	11800	17500	2400	9000	*	*	dock & tavern
out09.odm	1600	7000	-11600	-6000	*	*	southern village
out09.odm	-15900	-11500	-7000	-2700	*	*	western village
out09.odm	-5700	-4600	-400	400	*	*	water guild
out10.odm	-3000	7000	-14500	-7000	*	*	town
out10.odm	-16300	-13800	-1000	4400	*	*	western village + tunnel exit
out10.odm	6700	9400	-2400	1300	*	*	eastern village
out10.odm	5100	6500	2000	4000	*	*	nearby tunnel exit
out11.odm	-21800	-17400	-10300	-6700	*	*	western village
out11.odm	12900	17400	18100	21100	*	*	northern village
out11.odm	-8000	2000	-2000	7500	2000	*	stone city entrance
out12.odm	14000	16000	2500	4500	*	*	the only house
out13.odm	3000	13000	-13000	-5500	*	*	town center
out13.odm	-3500	3000	-11000	-3000	*	*	town west (dock)
out13.odm	9700	12300	-16400	-13000	*	*	markham's manor
out13.odm	-3200	5000	-19300	-15300	*	*	houses south of town
out13.odm	-22000	-17000	2000	6000	*	*	pirate island + ship
out13.odm	15000	20000	12000	17000	*	*	northern village
out14.odm	12000	21500	11000	22000	*	*	town
out14.odm	5700	8500	7500	10500	*	*	dock
out14.odm	-9000	-6300	12000	15600	*	*	island village
d29.blv	*	*	*	*	*	*	only after clearing monsters
d01.blv	-650	830	14150	15100	-10	920	room with black market
d24.blv	*	*	*	*	-200	*	dwarf-populated upper half
nwc.blv	*	*	*	*	*	*	endgame cheese
