Class	Descriptions	Notes
Ritter	Ritter sind geboren für den Kampf. Sie können schon zu Beginn ihrer Laufbahn aus einer Vielzahl von Waffen- und Rüstungsfähigkeiten wählen, und sie unterliegen keinen Beschränkungen bei der Wahl der Waffen oder der Rüstung, wodurch sie das größte Nahkampf-Schadenspotenzial aller Klassen haben. Die Ritter sind die härtesten Kämpfer, entsprechend haben sie von Anfang an die meisten Trefferpunkte und erhalten auch pro Stufenanstieg mehr dazu, als die anderen Klassen. Allerdings können Ritter niemals die Zauberei oder die Fähigkeit Meditation lernen.	Knight
Kämpe	Kämpen können in verschiedenen Fähigkeiten zum Meister aufsteigen und dürfen sich ein Kriegspferd aus den Ställen kaufen. Sie können weiter zum Ersten Ritter befördert werden, der für seine inspirierende Führungsstärke bekannt ist, oder zum Schattenritter, der mit weniger skrupulösen Methoden kämpft.	Knight
Erster Ritter	Der Erste Ritter ist die zweite und letzte Beförderung der Ritter und sie folgen dem Pfad des Lichts. Erste Ritter können Großmeister in Schild, Schwert, Speer, Waffenmeister, Kondition und Reparieren werden. Sie sind außerdem versiert in Schlachtfeldtaktiken, und unter ihrer Führung kann die gesamte Gruppe effektiver angreifen und verteidigen.	Knight
Schattenritter	Der Schattenritter ist die zweite und letzte Beförderung der Ritter und sie folgen dem Pfad der Finsternis. Schattenritter können Großmeister in Platte, Schild, Schwert, Speer, Waffenmeister, Kondition und Reparieren werden. Außerdem können sie gelegentlich Gegner, die sie im Nahkampf angreifen, verfluchen und sich in Diebesfähigkeiten versuchen.	Knight
Dieb	Die Diebe befassen sich weniger mit dem Kampf als vielmehr mit nützlichen Fähigkeiten, wie dem Entschärfen von Fallen oder dem Stehlen. Obwohl die Diebe den Rittern im Kampf nie das Wasser reichen werden, so sind sie doch geschickter im Waffenhandwerk als andere Magiebenutzer. Auch Diebe können später Zauber der Feuer- und Luftmagie lernen, aber sie werden nie besonders gut sein.	Thief
Meisterdieb	Ein Dieb wird mit seiner ersten Beförderung zu einem Meisterdieb. Meisterdiebe können in vielen Fähigkeiten zum Meister aufsteigen und erhalten außerdem die Fähigkeit, Zauber zu wirken, sowie einen kleinen Vorrat an Zauberpunkten. Sie können weiter zum Spion befördert werden, der sich auf das Sammeln von Informationen konzentriert, oder zum eher offensiv ausgerichteten Assassine.	Thief
Spion	Der Spion ist die zweite und letzte Beförderung der Diebe und sie folgen dem Pfad des Lichts. Spione können Meister der Luftmagie und Großmeister in Leder, Dolch, Waffen der Alten, Entschärfen, Stehlen, Erkennen und 6. Sinn werden.	Thief
Assassine	Der Assassine ist die zweite und letzte Beförderung der Diebe und sie folgen dem Pfad der Finsternis. Assassine können Meister der Feuermagie und Großmeister in Leder, Dolch, Waffen der Alten, Entschärfen, Stehlen, Erkennen und Alchimie werden.	Thief
Mönch	Mönche erproben sich im unbewaffneten Kampf, der Kampfkunst. Sie stehen im Kampf nur den Rittern nach und sie können teilweise die Klerikermagie (Seele- und Körpermagie) anwenden, sobald sie zu Initiierten befördert werden.	Monk
Initiirter	Initiierter ist die erste Stufe der Beförderung eines Mönches. Initiierte können in einer Reihe von Fähigkeiten zum Meister aufsteigen. Außerdem erwerben sie teilweise die Klerikermagie, und erhalten dazu einen kleinen Vorrat an Zauberpunkten. Initiierte können weiter zu den magisch begabteren Meistern oder zu Ninjas befördert werden, die sich durch ihre Diebesfähigkeiten auszeichnen.	Monk
