Global Text	

0	AK
1	Geschick
2	Schwarzer Ritter
3	Spion
4	Ängstlich
5	Alter
6	Luft
7	Alchimist
8	Obeliskenzeichen
9	Gratulation!
10	Stadtportal
11	Rüstung
12	Rüstungsklasse
13	Assassine
14	Schlafend
15	Fehler bei %d in %s
16	Autosave
17	Erf.
18	Angriff
19	Verfügbar
20	Verfügbare Fähigkeiten
21	Mönch
22	Auszeichnungen
23	Auszeichnungen für
24	Feuer - Res
25	Guthaben
26	Initiierter
27	Ninja
28	Nemesis
29	Körper
30	Bonus
31	Ranger
32	Beschädigter Gegenstand
33	Meisterjäger
34	Abbrechen
35	Stadtportal nach %s
36	%s kann so nicht benutzt werden
37	Gesamtzeit:
38	Zauber sprechen
39	Ziel wählen
40	Kopfjäger
41	Klasse
42	Sekretär
43	Kälte
44	Priester des Lichts
45	Zust.
46	Priester der Dunkelheit
47	Zustand
48	Hexer
49	Lich
50	Ausweichen
51	GRUPPE ERSTELLEN
52	Verflucht
53	Schaden
54	Dunkel
55	Morgengrauen
56	Tag
57	Tage
58	Tot
59	Interner Fehler
60	Einzahlen
61	Drücken Sie Escape
62	Might and Magic VII muß im 16bit (32k oder 65k) Farbenmodus gestartet werden, um im Fenstermodus zu laufen.
63	Might and Magic VII hat Schwierigkeiten beim Laden von Dateien. Führen sie bitte eine Re-Installation durch, dabei werden ihre abgespeicherten Spielstände nicht gelöscht.
64	Details
65	Erkrankt
66	Sch.
67	%s beherrscht die Fähigkeit nicht
68	Spenden
69	Betrunken
70	Erde
71	Elektrizität
72	Leer
73	Betreten
74	Unterredung beenden
75	Ausdauer
76	Vernichtet
77	Kampfkunst
78	Kalender
79	Fertig
80	Verlassen
81	Lager verlassen
82	Sind Sie sicher? Zum Beenden bitte erneut klicken
83	Erfahrung
84	Ruf
85	Trank Notizen
86	Proviant für %d Tage für %d Gold
87	Feuer
88	Monsterkunde
89	Waffenmeister
90	Stehlen
91	Freitag
92	Voll
93	Spieloptionen
94	Ihre Punktezahl: %lu
95	Alchimie
96	Großmeister 
97	Gold
98	Gut
99	Mensch
100	Wache
101	Zwerg
102	Halb
103	Elf
104	Heilen
105	Heiler
106	Goblin
107	TP
108	Trefferpunkte
109	Stunde
110	Stunden
111	Großmeister 
112	Wieviel?
113	Erkennen
114	Meisterdieb
115	Ausbilder
116	Intellekt
117	Irrsinnig
118	Wir hoffen, es hat Ihnen ebenso viel Spaß gemacht, Might and Magic VII zu spielen, wie uns die Produktion gemacht hat. Dieser Bildschirm wurde als MM7_WIN.PCX in Ihrem MM7 - Verzeichnis abgespeichert. Sie können ihn als Nachweis für Ihren Erfolg ausdrucken.
119	Meisterschütze
120	Inventory
121	Permanent
122	Beitreten
123	Kopfgelder und Händler
124	Scharfschütze
125	+2 Fähigkeitspunkte!
126	%s verlassen?
127	Kein Text!
128	Es dauert %d Tage, um Ihr Ziel, %s, zu erreichen.
129	%s, Stufe %u %s
130	Spieler
131	Stufe
132	Jahre
133	Licht
134	Standard
135	Lade
136	Glück
137	Brunnennotizen
138	Magie
139	Karten
140	Dein Gepäck ist bereits voll!
141	Magische Gebräue
142	Geist
143	Verschiedene
144	Stärke
145	Montag
146	Monat
147	Sie sind bereit, auf Stufe %u aufzusteigen.
148	Monate
149	Name
150	Neu
151	Glückwunsch, Abenteurer.
152	Besonderes
153	Keine
154	Notizen
155	Ihr habt nicht genug Gold
156	Bleibe in diesem Gebiet
