Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0																
1	item001	Langschwert	50	Weapon	Sword	3d3	0	8	1	Langschwert	1	0	0	5	120	Trotz einfacher Machart ist dieses Langschwert eine effiziente Waffe.
2	item002	Elfensäbel	150	Weapon	Sword	3d3	2	8	5	Säbel	1	0	0	6	153	Diese weit verbreitete Elfenwaffe ist zwar nichts ungewöhnliches, aber dennoch tödlich.
3	item003	Geschliffenes Schwert 	300	Weapon	Sword	3d3	5	8	9	Langschwert	1	0	0	-2	118	Obwohl dieses Langschwert alt aussieht, ist seine Schneide ungewöhnlich scharf. Möglicherweise wurde sie bei ihrer Herstellung verzaubert.
4	item004	Graziöses Schwert	450	Weapon	Sword	3d3	8	8	13	Langschwert	1	0	0	4	138	Ein Langschwert höchster Güte. Initialen nahe des Knaufes deuten darauf hin, daß es von Mekorig dem Blinden zwischen 780-800 geschmiedet wurde.
5	item005	Duellschwert	600	Weapon	Sword	3d3	11	8	18	Langschwert	1	0	0	10	142	Diese seltenen Klingen wurden einige Zeit vor der Stille geschmiedet. Seither benutzten sie edle Duellanten, die alle mit Stil sterben wollten. Kein Duellantenschwert gleicht einem anderen, aber alle teilen eine blutige Geschichte.
6	item006	Zweihänder	400	Weapon2	Sword	4d5	0	8	1	Zweihänder	2	0	0	12	146	Das einfache, beidhändig zu führende Schwert ist ein alltäglicher Gegenstand in Erathia.
7	item007	Großschwert	500	Weapon2	Sword	4d5	5	8	9	Zweihänder	2	0	0	16	142	Eine wirkungsvolle und tödliche Waffe, wie sie von den weniger disziplinierten Armeen schon immer benutzt wurde. Der Schmied, der diese Waffe schuf, legte entlang der Mitte der Klinge bedacht eine Blutrinne an.
8	item008	Heldenklinge	800	Weapon2	Sword	4d5	13	8	15	Zweihänder	2	0	0	14	139	Manche Schwertmeister sind der Ansicht, daß eine gebogene Klinge stärker sei als eine gerade und auch mehr Schaden verursache. Unerheblich, ob das stimmt oder nicht, diese Waffe ist eine der besten, die Ihr je sehen werdet.
9	item009	Breitschwert	100	Weapon	Sword	3d4	0	8	1	Breitschwert	3	0	0	6	128	Ein poliertes Breitschwert, wie es von allen Streitkräften in Erathia benutzt wird.
10	item010	Stahl - Breitschwert	350	Weapon	Sword	3d4	4	8	7	Breitschwert	3	0	0	5	113	Ein erathianisches Stahl - Breitschwert bester Qualität und Schärfe.
11	item011	Meisterschwert	650	Weapon	Sword	3d4	10	8	13	Breitschwert	3	0	0	2	123	Dieses außergewöhnliche Breitschwert hat trotz seines Alters eine scharfe Schneide.
12	item012	Krummsäbel	30	Weapon	Sword	3d2	0	7	1	Krummsäbel	4	0	0	6	98	Die nach hinten geschwungene Gestalt des Krummsäbels läßt den Gegner die Reichweite der Waffe unterschätzen. Viele unerfahrene Schwertkämpfer haben aufgrund dieser trügerischen Form ihr Leben gelassen.
13	item013	Goblin - Krummsäbel	290	Weapon	Sword	3d2	6	7	8	Krummsäbel	4	0	0	0	109	Eine seltsame Mischung aus Messing und einem anderen, rötlichen Metall verursacht die ungewöhnliche Farbe und Stärke dieser Waffe. Goblinhandwerker verstehen nichts von Schönheit, aber wenn es ums Töten geht, ist auf sie Verlaß.
14	item014	Regna - Krummsäbel	590	Weapon	Sword	3d2	12	7	14	Krummsäbel	4	0	0	4	118	Geschickt verborgene Initialen nahe des Knaufes zeugen von der Herkunft dieser Waffe aus der Werkstatt des Alec Teling, Meisterschmied von Hareck IX, Lord von Regna und Herrscher über den endlosen Ozean.
15	item015	Dolch	7	Weapon	Dagger	1d4	0	6	1	Dolch	5	0	0	-3	75	Ein gewöhnlicher Dolch, wie er von Dieben und Räubern benutzt wird.
16	item016	Zwergendolch	100	Weapon	Dagger	1d4	2	6	3	Dolch	5	0	0	7	71	"Für einen Zwerg ist dieser Dolch eher ein Kurzschwert; auf jeden Fall ist er ein hervorragendes Beispiel überlegener zwergischer Schmiedekunst und geringer künstlerischer Kreativität."
17	item017	Haizahn - Dolch	150	Weapon	Dagger	1d4	4	6	6	Dolch	5	0	0	14	54	"Die ""Klinge"" dieses Dolches besteht aus echtem Haizahn aus dem stummen Ozean und steckt in einem phantasievollen Griff. Die Waffe ist ebenso scharf wie leicht."
18	item018	Assassinen - Dolch	250	Weapon	Dagger	1d4	6	6	9	Dolch	5	0	0	14	67	Die Seiten des Hefts dieses Dolches lassen sich einklappen, wodurch er leichter zu verbergen ist. Eine Feder im Knauf läßt die Seiten leise ausklappen, wenn der Dolch aus der Scheide gezogen wird.
19	item019	Magierdolch	300	Weapon	Dagger	1d4	8	6	13	Dolch	5	0	0	9	75	Eine Waffe aus der Zeit der Wunder, eine schärfere oder stärkere ist heutzutage nicht herstellbar.
20	item020	Langdolch	15	Weapon	Dagger	2d3	0	7	1	Langdolch	5	0	0	4	87	Der Langdolch kombiniert die Reichweite eines Schwertes mit der Unauffälligkeit des Dolches.
21	item021	Erathia - Langdolch	200	Weapon	Dagger	2d3	3	7	6	Langdolch	5	0	0	4	81	Diese Waffe ist mehr ein Kurzschwert als ein Dolch, und die schmale Klinge täuscht über ihre ungewöhnliche Stärke und ihre mitunter verzauberte Schärfe hinweg.
22	item022	Exquisiter Langdolch	350	Weapon	Dagger	2d3	7	7	12	Langdolch	5	0	0	10	84	Die einfache, jedoch ansprechende Gestalt dieses langen Dolches ist kennzeichnend für ein Artefakt aus der Zeit vor der Stille. Diese besondere Form war sehr beliebt zur damaligen Zeit, aber nach tausend Jahren sind nicht mehr viele davon zu finden. Wie alle Dinge aus der Zeit der Stille, sieht die Waffe noch immer wie neu aus.
23	item023	Beil	80	Weapon	Axe	4d3	0	5	1	Axt	7	0	0	17	82	Diese primitive Axt ist mehr ein Werkzeug als eine Waffe.
24	item024	Streitaxt	150	Weapon	Axe	4d3	2	5	4	Axt	7	0	0	19	86	Die grob geschliffene Schneide des Blattes ist eine oft kopierte Form. Diese Axt wird von einfachen Söldnerarmeen und Räubern benutzt.
25	item025	Zwergenaxt	300	Weapon	Axe	4d3	5	5	8	Axt	7	0	0	28	100	Übliche Zwergenbauweise: Robust, stark und schlicht.
26	item026	Stahlaxt	450	Weapon	Axe	4d3	8	5	13	Axt	7	0	0	15	120	Eine von mehreren Kisten mit diesen Waffen wurde den Zwergen von den Hexern von Nighon gestohlen. Jede einzelne dieser Waffen wurde in den Schmieden von Steinstadt gehärtet, verzaubert und mit ihrer Gravur versehen.
27	item027	Minotauren - Axt	600	Weapon	Axe	4d3	11	5	18	Axt	7	0	0	28	100	Doppelblattäxte wie diese unterliegen machtvollen Zaubern der Minotaurenmagier. Diese Äxte sind leicht, obwohl sie schwer sein sollten und schneiden durch Metallpanzerungen wie durch Stoff.
28	item028	Stabaxt	225	Weapon2	Axe	3d7	0	5	1	Zweihandaxt	8	0	0	19	142	Der lange Schaft verleiht dieser Waffe eine höhere Reichweite und Wucht, als der normalen einhändig zu führenden Axt.
29	item029	Schlachtbeil	450	Weapon2	Axe	3d7	6	5	7	Zweihandaxt	8	0	0	22	140	Diese Stangenaxt hat alle Errungenschaften moderner Kriegstechnologie: Blutrinnen, pfeifende Löcher, ein Gegengewicht und ein schmaleres Blatt auf der Rückseite des Schaftes für raffinierte, ausweidende Rückhandschläge.
30	item030	Henkersbeil	900	Weapon2	Axe	3d7	12	5	13	Zweihandaxt	8	0	0	20	170	Diese Waffe wird so genannt, weil sie das beliebteste Werkzeug des Henkers ist. Sie hat ein längeres Blatt um schmutzige und peinliche Hinrichtungsfehler zu vermeiden.
31	item031	Speer	15	Weapon1or2	Spear	1d9	0	6	1	Speer	9	0	0	0	141	Obwohl dieser Speer nur aus einem geschärften Stein, der an einen einfachen Stab gebunden ist, besteht, kann er ernsthaft Wunden verursachen (+1W9, wenn mit beiden Händen geführt).
32	item032	Soldatenspeer	50	Weapon1or2	Spear	1d9	1	6	4	Speer	9	0	0	8	118	Speere wie dieser sind in allen Armeen anzutreffen, ihre Vielseitigkeit als Stangen- und Nahkampfwaffen kann man immer wieder beobachten.
