						
	NPC	Join				
#	Professions	Cost/w	Action Text	In Party Benefit	Join Text	Dismiss Text
						
1	Schmied	200		Repariert alle Waffen und erhöht die Fähigkeiten aller Waffen jedes Charakters um 2 Punkte. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich trete gerne für 200 Goldstücke und %17 Prozent allen Goldes, das wir finden, in Eure Dienste. Ich werde jede Waffe für Euch reparieren und warten, wenn Ihr dies verlangt.	Oh, bitte entlaßt mich nicht. Ich werde auch bestimmt noch härter arbeiten!
2	Rüstschmied	200		Repariert alle Rüstungen und erhöht die Fähigkeiten aller Rüstungen jedes Charakters um 2 Punkte. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich kann Rüstungen reparieren und warten. Ich verlange nur 200 Goldstücke und %17 Prozent Anteil an allen Goldstücken, die Ihr findet.	Wie? Was ist denn? Ist meine Arbeit nicht gut genug?
3	Alchimist	400	Zauberstab aufladen	Repariert alle magischen Gegenstände (keine Waffen und Rüstungen) und lädt Zauberstäbe einmal pro Tag auf. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich kann alle magischen Gegenstände wieder reparieren, außer Rüstungen und Waffen. Ich kann auch Zauberstäbe wieder aufladen. Ich verlange nur 400 Goldstücke als Einstiegsentgelt und %17 Prozent allen Goldes, das wir finden.	Verzeiht, Meister, aber ich tue mein bestes...
4	Gelehrter	500		"Erhöht die Fähigkeit ""Erkennen"" aller Charaktere um 5 Punkte und gibt 5 Prozent Bonus auf Erfahrungspunkte. %01 verlangt %17 Prozent allen Goldes, das Ihr findet."	Ich lernte bei Thomas Grey in der Schule der Zauberer einen magischen Gegenstand von einem anderen genau zu unterscheiden. Dies kann ich auch für Euch tun, für 500 Goldstücke und %17 Prozent allen Goldes, das wir finden.	Warum entlaßt Ihr mich? Braucht Ihr meine Fähigkeiten nicht mehr?
5	Spurensucher	100	frischer Wind	Alle Überlandreisen gehen einen Tag schneller (Minimum 1 Tag Reisezeit) und erhöht die Gehgeschwindigkeit. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich kenne das Land und seine Straßen. Ich werde Euch führen für lächerliche 100 Goldstücke und %17 Prozent allen Goldes, das wir finden.	Aber ich koste doch so wenig. Könnt Ihr Euch %17 Prozent nicht mehr leisten?
6	Fährtenleser	200	frischer Wind	Alle Überlandreisen gehen zwei Tage schneller (Minimum 1 Tag Reisezeit) und erhöht die Gehgeschwindigkeit. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich kenne das Land und seine Straßen genau. Ich werde Euch führen für lächerliche 200 Goldstücke und %17 Prozent allen Goldes, das wir finden.	Aber ich koste doch so wenig. Könnt Ihr Euch %17 Prozent nicht mehr leisten?
7	Waldläufer	300	frischer Wind	Alle Überlandreisen gehen drei Tage schneller (Minimum 1 Tag Reisezeit) und erhöht die Gehgeschwindigkeit. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich kenne das Land und seine Straßen sehr genau. Ich werde Euch führen für lächerliche 300 Goldstücke und %17 Prozent allen Goldes, das wir finden.	Aber ich koste doch so wenig. Könnt Ihr Euch %17 Prozent nicht mehr leisten?
8	Seemann	100	frischer Wind	Alle Überseereisen gehen zwei Tage schneller (Minimum 1 Tag Reisezeit) und erhöht die Schwimmgeschwindigkeit. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ahoi, ich kann für Euch arbeiten, auf 'nem Schiff. Mit mir kommt Ihr viel schneller ans Ziel. Dafür verlange ich als Heuer nur, hmmm, 100 Goldstücke und 'nen Anteil von %17 Prozent allen Goldes, das wir finden.	Was? Ihr wollt mich absaufen lassen? Warum?
9	Navigator	200	frischer Wind	Alle Überseereisen gehen drei Tage schneller (Minimum 1 Tag Reisezeit) und erhöht die Schwimmgeschwindigkeit. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich habe viel Zeit mit der Erstellung genauer Seekarten zugebracht. Mit meinen Karten und meinen Erfahrungen kann ich Euch wesentlich schneller ans Ziel geleiten. Meine Heuer beträgt 200 Goldstücke und den Anteil von %17 Prozent allen Goldes, das wir finden.	Was habe ich getan, um eine solche Behandlung zu verdienen? Ich dachte, wir hätten ein Abkommen...
10	Heiler	500	Gruppe heilen	Heilt einmal am Tag alle verlorenen Trefferpunkte der Gruppe. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Ich kann mit Euch reisen, meine Kinder, für eine bescheidene Spende von 500 Goldstücken und einen Anteil von %17 Prozent allen Goldes, das wir finden, an meinen Tempel. Ich kann dafür einmal täglich all' Eure Wunden heilen.	Wie könnt Ihr überhaupt daran denken, mich zu entlassen? Wer versorgt dann Eure Wunden?
11	Expertenheiler	1500	Gruppe heilen	Heilt einmal am Tag alle verlorenen Trefferpunkte und negativen Zustände der Gruppe (außer Tot, Versteinerung und Vernichtet). %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Als Experte meines Faches kann ich all' Eure Wunden und die meisten negativen Zustände (außer Tod und Versteinerung) einmal täglich heilen. Dafür ist jedoch eine einmalige Spende von 1500 Goldstücken und ein Anteil von %17 allen Goldes, das wir finden, an meinen Tempel erforderlich.	Wie könnt Ihr überhaupt daran denken, mich zu entlassen? Wer versorgt dann Eure Wunden?
12	Meisterheiler	3000	Gruppe heilen	Vollständige Heilung aller Trefferpunkte und negativen Zustände der Gruppe einmal am Tag. %01 verlangt %17 Prozent allen Goldes, das Ihr findet.	Als ein Meister meiner Kunst sind meine Dienste vielerorts sehr gefragt. Ich kann alle Wunden und alle negativen Zustände (außer Vernichtung) heilen, allerdings wirkt die Kraft meiner magischen Heilung nur einmal am Tag. Ich verlange eine Spende von 3000 Goldstücken an meinen Tempel und einen Anteil von %17 Prozent allen Goldes, das wir finden.	Wie könnt Ihr überhaupt daran denken, mich zu entlassen? Wer versorgt dann Eure Wunden?
