Skill	Description	Normal	Expert	Master	GrandMaster
Staff	Der Stab ist eine zweihändig zu führende Stangenwaffe, die sowohl zum Angriff wie zum Parieren geeignet ist. Experten erhöhen mit dem Stab ihre Rüstungsklasse und Meister können manchmal ihre Gegner bewußtlos schlagen.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert und Waffenbonus wird zur Rüstungsklasse addiert.	Die Wahrscheinlichkeit, den Gegner bewußtlos zu schlagen, entspricht dem Fähigkeitswert.	Der Fähigkeitswert Stab wird mit dem der Kampfkunst kombiniert.
Sword	Die Fähigkeit Schwert deckt die meisten Klingenwaffen, die länger als ein Dolch sind, ab. Experten können schneller angreifen, Meister können das Schwert mit der linken Hand führen und in der rechten Hand eine weitere Waffe halten.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert verringert die Erholungszeit.	Erlaubt den linkshändigen Gebrauch.	Die Wahrscheinlichkeit, einen Angriff abzuwehren, entspricht dem Fähigkeitswert.
Dagger	Der Dolch richtet nicht soviel Schaden wie ein Schwert oder eine Axt an, dafür ist er sehr schnell, manchmal gelingen zwei Angriffe für nur einen des Gegners. Experten können den Dolch mit der linken Hand führen und in der rechten Hand eine weitere Waffe halten. Meister erzielen häufiger kritische Treffer. Diese Fähigkeit regelt auch den Einsatz von Wurfmessern.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Erlaubt den linkshändigen Gebrauch.	Der Fähigkeitswert wird zur Wahrscheinlichkeit eines kritischen Treffers addiert.	Der Fähigkeitswert wird zum Schaden addiert.
Axe	Die Axt ist langsam, verursacht aber derben Schaden. Experten können sie schneller handhaben, Meister können zusätzlichen Schaden verursachen.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert verringert die Erholungszeit.	Der Fähigkeitswert wird zum Schaden addiert.	Möglichkeit, die Rüstungsklasse des Gegners zu halbieren.
Spear	Die Fähigkeit Speer deckt alle Stangenwaffen, an deren Ende eine Klinge angebracht ist, ab. Der Speer ist eine wendige Waffe und kann sowohl einhändig als auch zweihändig eingesetzt werden (er wird besser beidhändig benutzt).	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert wird zum Schaden addiert.	Der Speer kann einhändig geführt werden.	Die Wahrscheinlichkeit, einen Angriff abzuwehren, entspricht dem Fähigkeitswert.
Bow	Die Fähigkeit Bogen umfaßt Bogen und Armbrust. Expertenschützen sind mit der Waffe schneller. Meistermit dem Bogen können zwei Pfeile mit jedem Angriff verschießen.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert verringert die Erholungszeit.	Der Bogen feuert zwei Pfeile pro Angriff ab.	Der Fähigkeitswert wird zum Schaden addiert.
Mace	Die Fähigkeit Streitkolben umfaßt alle stumpfen Waffen, vom Knüppel bis zum Kriegsflegel. Experten verursachen mehr Schaden. Meister schlagen ihre Gegner machmal bewußtlos.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert wird zum Schaden addiert.	Die Wahrscheinlichkeit, den Gegner bewußtlos zu schlagen, entspricht dem Fähigkeitswert.	Die Wahrscheinlichkeit, den Gegner zu lähmen, entspricht dem Fähigkeitswert.
Blaster	Eine Waffe aus der Zeit vor der Stille, deren Geheimnisse lange vergessen sind. Experten und Meister verdoppeln bzw. verdreifachen ihre Genauigkeit mit diesen mächtigen Waffen.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	"Auswirkungen der Fähigkeit sind verdoppelt; Entfernungsmalus entfällt."	"Auswirkungen der Fähigkeit sind verdreifacht; Fähigkeitswert wird zur Rüstungsdurchschlagskraft addiert."	Die Wahrscheinlichkeit, den Gegner auszulöschen, entspricht dem Fähigkeitswert.
Shield	Die Fähigkeit Schild wird direkt der Rüstungsklasse zugerechnet, solange ein Schild benutzt wird. Der Expertenrang senkt die Behinderung durch den Schild und höhere Ränge verbessern den Schutz des Charakters.	Der Fähigkeitswert wird zur Rüstungsklasse addiert.	Die Verlängerung der Erholungszeit entfällt.	Verdoppelt alle Schild Boni.	Der Träger muß nur 3/4 des Schadens hinnehmen.
Leather	Lederrüstung ist die leichteste Rüstung. Zwar bietet sie weniger Schutz als Ketten- oder Plattenrüstungen, jedoch macht sie den Charakter auch nicht so langsam. Die Fähigkeit Leder erhöht den Schutz durch eine getragene Lederrüstung. Der Expertenrang senkt die Behinderung durch die Rüstung und höhere Ränge fügen nützliche Fähigkeiten hinzu.	Der Fähigkeitswert wird zur Rüstungsklasse addiert.	Die Verlängerung der Erholungszeit entfällt.	Die Wahrscheinlichkeit, einen feindlichen Zauber zu absorbieren, entspricht dem Fähigkeitswert.	Erlaubt die Fähigkeit Ausweichen.
