Special Bonuses by Group

Bonus Stat	Name Add	Prefix	Weap	Staff	Miss	Arm	Shld	Helm	Belt	Cape	Gaunt	Boot	Ring	Amul	Robe	Crown	Caest	Value	Lvl	Craft	Craft description	Description fo special Bonuses and values

+10 auf alle Resistenzen.	des Schutzes	N	0	10	0	10	10	10	0	10	0	0	10	10	10	10	0	1000	B	384	Day of Protection scroll	(+10) on all four resistances
+10 auf alle 7 Attribute.	der Götter	N	5	10	5	10	10	10	10	10	10	10	10	10	10	10	10	2000	C	382	Day of the Gods scroll	(+10) on all 7 stats
Explosiver Einschlag!	- Verwüster	N	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4000	D	396	Dragon Breath scroll	"projectile explodes (fireball radius,dmg=weapdmg)"
Addiert 3-^H[4;8] Punkte Kälteschaden.	der Kälte	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	500	A	325	Ice Bolt scroll	(3-4) cold damage
Addiert 6-^H[8;16] Punkte Kälteschaden.	der Vereisung	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	1000	C	331	Ice Blast scroll	(6-8) cold damage
Addiert 9-^H[12;24] Punkte Kälteschaden.	- Eissturm	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	2000	D	247	Freezing potion	(9-12) cold damage
Addiert 2-^H[5;10] Punkte Elektroschaden.	der Funken	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	500	A	314	Sparks scroll	(2-5) elec damage
Addiert 4-^H[10;20] Punkte Elektroschaden.	der Blitze	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	1000	C	317	Lightning Bolt scroll	(4-10) elec damage
Addiert 6-^H[15;30] Punkte Elektroschaden.	- Donnerschlag	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	2000	D	249	Shocking potion	(6-15) elec damage
Addiert 1-^H[6;12] Punkte Feuerschaden.	des Feuers	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	500	A	301	Fire Bolt scroll	(1-6) fire damage
Addiert 2-^H[12;24] Punkte Feuerschaden.	der Flammen	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	20	1000	C	303	Fire Aura scroll	(2-12) fire damage
