										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
1	1	Fackellicht	none	Fackel	Der Zauber erweitert den Lichtkreis, der die Gruppe im Dunkeln umgibt, und verringert den Nachteil auf die Trefferchance von Fernkampfwaffen im Dunkeln.	Zauberdauer: 1 Stunde pro Fähigkeitswert.	Helles Licht.	Helleres Licht.	Hellstes Licht.	P
2	2	Feuerstrahl	Fire	Feuer	Schickt Feuer auf ein einzelnes Ziel. Feuerstrahl verursacht 1-3 Punkte Schaden pro Fähigkeitswert des Zaubernden in Feuermagie.	Langsame Erhohlungszeit.	Schnelle Erholungzeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMEC
3	3	Feuer - Resistenz	none	Feuerres.	Erhöht die Resistenz aller Charaktere gegen Feuer entsprechend dem Fähigkeitswert in Feuermagie für 1 Stunde pro Fähigkeitswert.	1 Punkt Resistenz pro Fähigkeitswert.	2 Punkte Resistenz pro Fähigkeitswert.	3 Punkte Resistenz pro Fähigkeitswert.	4 Punkte Resistenz pro Fähigkeitswert.	P
4	4	Feueraura	none	F.-Aura	"Feueraura entflammt eine Waffe mit magischem Feuer. Sie verleiht der Waffe die Fähigkeit ""des Feuers"". Der Zauber bleibt eine Stunde pro Fähigkeitswert in Feuermagie aktiv."	"Waffenfähigkeit: ""des Feuers""."	"Waffenfähigkeit: ""der Flammen""."	"Waffenfähigkeit: ""Inferno""."	Die Verzauberung der Waffe wird permanent.	P
5	5	Eile	none	Eile	Verkürzt die durch Zauber oder Waffenangriffe bedingte Erholungszeit. Charaktere werden nach Ende der Zauberdauer geschwächt. Der Zauber betrifft die gesamte Gruppe.	nicht möglich	Zauberdauer: 1 Stunde + 1 Minute pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 3 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 4 Minuten pro Fähigkeitswert.	PM
6	6	Feuerball	Fire	F.-Ball	Schleudert einen Feuerball auf ein einzelnes Ziel, die Explosion dort zieht auch Wesen in der Nähe in Mitleidenschaft. Das gilt auch für Ihre Gruppe, wenn sie zu nahe am Ziel steht. Der Schaden beträgt 1-6 Punkte pro Fähigkeitswert in Feuermagie.	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMEC
7	7	Feuerdorn	Fire	F.-Dorn	Der Zauber steckt einen Feuerdorn in den Boden, der jeder Kreatur, die darauf tritt, 1-6 Punkte Schaden pro Fähigkeitswert in Feuermagie zufügt. Ein vollständig eingesetzter Feuerdorn kann mehrmals Schaden verursachen, bevor er erlischt. Sie können nur einen Feuerdorn pro drei Punkte in Feuermagie gleichzeitig einsetzen.	nicht möglich	Dornen widerstehen 5 Treffer.	Dornen widerstehen 7 Treffer.	Dornen widerstehen 9 Treffer.	PC
8	8	Feuerring	Fire	F.-Ring	Der Zauber umgibt die Charaktere mit einer sehr heißen Flamme, die jeden-bis auf die Charaktere-verletzt. Schaden: 1-6 Punkte pro Fähigkeitswert gegen alle Monster in der Nähe, solange diese im Bereich des Zaubers verbleiben. Dieser Zauber kann vorzeitig abgebrochen werden, indem Sie bei gedrückter Strg-Taste auf den Zauberspruch klicken.	nicht möglich	nicht möglich	Zauberdauer: 5 Minute pro Fähigkeitswert.	Zauberdauer: 15 Minute pro Fähigkeitswert.	PC
9	9	Meteorregen	Fire	Meteore	Der Zauber beschwört einen Regen aus flammenden Felsbrocken, die in weitem Umkreis um das Ziel herniedergehen. Geben Sie acht, nicht zu nahe am Ziel zu stehen, wenn Sie diesen Zauber benutzen. Jeder einzelne Meteor verursacht 8 Punkte + 1 Punkt pro Fähigkeitswert Schaden. Der Zauber wirkt nur im Freien.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit, 10 Meteore.	Schnelle Erholungszeit, 20 Meteore.	PMEC
10	10	Inferno	Fire	Inferno	Verbrennt jedermann in Sichtweite, die Gruppe eingeschlossen. Der Schaden beträgt 12 Punkte + 1-2 Punkte pro Fähigkeitswert in Feuermagie. Der Zauber ist nur in Gebäuden anwendbar.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	PC
11	11	Verbrennen	Fire	Brennen	Dieser Zauber verursacht massiven Schaden an einem einzelnen Ziel. Der Zauber hat eine Chance von 3% pro Fähigkeitswert in Feuermagie, sein Ziel sofort zu töten. Selbst wenn das Monster überlebt, beträgt der Schaden 15 Punkte + 1-15 Punkte pro Fähigkeitswert in Feuermagie.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	PMC
	Lvl	Air Spells	Res		Spell Description					
12	1	Magisches Auge	none	mag. Auge	Auf der Übersichtskarte werden alle Monster und verschiedene interessante Orte angezeigt. Der Zauber hält für eine Stunde pro Fähigkeitsstufe in Luftmagie.	Zeigt nur die Karte und Monster.	Zeigt Schätze.	Zeigt verschiedene interessante Orte oder Gegenstände.	Der Zauber läuft nie ab.	P
13	2	Federfall	none	Federfall	Schützt die Gruppe vor Schäden durch Sturz aus mehr als 3 Meter Höhe durch Verlangsamen der Fallgeschwindigkeit. Der Zauber betrifft die gesamte Gruppe und seine Zauberdauer hängt vom Fähigkeitswert in Luftmagie ab.	Zauberdauer: 5 Minuten pro Fähigkeitswert.	Zauberdauer: 10 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde pro Fähigkeitswert.	Erhöhte Sprunghöhe.	P
14	3	Elektro - Resistenz	none	Elektrores.	Erhöht die Resistenz aller Charaktere gegen Elektrizität entsprechend dem Fähigkeitswert in Luftmagie für 1 Stunde pro Fähigkeitswert.	1 Punkt Resistenz pro Fähigkeitswert.	2 Punkte Resistenz pro Fähigkeitswert.	3 Punkte Resistenz pro Fähigkeitswert.	4 Punkte Resistenz pro Fähigkeitswert.	P
15	4	Funkenflug	Elec	Funken	Erschafft kleine Blitzkugeln, die ziellos umher hüpfen, bis sie etwas treffen oder sich auflösen. Da niemand vorhersehen kann, wohin sie hüpfen, ist der Zauber am besten in Räumen anzuwenden, die randvoll sind mit Monstern. Jeder Funke verursacht 2 Punkte Schaden + 1 Punkt pro Fähigkeitswert.	3 Funken für 4 Zauberpunkte.	5 Funken für 5 Zauberpunkte.	7 Funken für 6 Zauberpunkte.	9 Funken für 7 Zauberpunkte.	PMEC
16	5	Sprung	none	Sprung	Ihre Gruppe überspringt die nächsten 20 Meter, ohne dabei Schaden zu nehmen.	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	P
17	6	Schild	none	Schild	Verlangsamt einschlagende Fernwaffen (wie Pfeile und Felsen), so daß diese nur halben Schaden verursachen.	nicht möglich	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 1 Stunde pro Fähigkeitswert.	PM
18	7	Blitzstrahl	Elec	Blitz	Schleudert einen Blitz auf ein einzelnes Ziel. Dieser verursacht 1-8 Punkte Schaden pro Fähigkeitswert in Luftmagie. Das Ziel kann auch kurzzeitig betäubt werden.	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMEC
19	8	Unsichtbarkeit	none	Unsichtbar	Der Zauber kann nicht angewendet werden, solange feindliche Monster in der Nähe sind. Unsichtbarkeit lenkt das Licht um den Zaubernden herum ab, sodaß Kreaturen in der Nähe Ihre Gruppe nicht wahrnehmen können, solange sie nicht mit ihr zusammenstoßen oder sie angreifen. %s Sprechen die Charaktere oder greifen sie an, egal, ob sie treffen oder nicht, wird der Zauber gebrochen.	nicht möglich	nicht möglich	Zauberdauer: 5 Minuten pro Fähigkeitswert.	Zauberdauer: 15 Minuten pro Fähigkeitswert.	P
20	9	Implosion	Phys	Implosion	Dieser mächtige Zauber erzeugt eine Implosion um ein einzelnes Ziel herum, indem er die Luft um das Ziel zerstört, die dann mit einem Donner wieder einströmt und Schaden verursacht. Dieser Schaden beträgt 10 Punkte + 1-10 Punkte pro Fähigkeitswert in Luftmagie.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	PMC
21	10	Fliegen	none	Fliegen	Die Gruppe hat die Macht zu fliegen! Dieser Zauber ist sehr aufwendig und entfaltet seine Wirkung nur im Freien, aber er ist sehr nützlich. Fliegen kostet den Zauberer alle 5 Minuten einen weiteren Zauberpunkt, solange er aktiv ist (solange die Gruppe nicht den Boden berührt).	nicht möglich	nicht möglich	Zauberdauer: 10 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde pro Fähigkeitswert.	P
22	11	Sternenfeuer	Elec	Sterne	Ruft die Sterne des Himmels herab, um die Feinde zu zerschmettern und zu verbrennen. 20 Sterne fallen herab, jeder verursacht 20 Punkte Schaden + 1 Punkte pro Fähigkeitswert. Der Zauber wirkt nur im Freien. Kommt dem Geschehen nicht zu nahe…	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	PEC
	Lvl	Water Spells	Res		Spell Description					
23	1	Erwachen	none	Wach	Erweckt die Gruppe aus ihrem normalen Schlaf (Ruhen) und wird sie auch aus magischem Schlaf erwecken, sofern sie nicht zu lange geschlafen hat. Die Höhe des Fähigkeitswertes in Wassermagie gibt an, wie lange ein Charakter schon in magischem Schlaf gewesen sein kann, ohne, daß der Zauber nutzlos wird.	Der Zauber funktioniert bei magischem Schlaf von weniger als 3 Minuten pro Fähigkeitswert.	Der Zauber funktioniert bei magischem Schlaf von weniger als 1 Stunde pro Fähigkeitswert.	Der Zauber funktioniert bei magischem Schlaf von weniger als 1 Tag pro Fähigkeitswert.	Schnelle Erholungszeit.	P
24	2	Giftnebel	Pois	Gift	Nebelt ein Wesen direkt vor der Gruppe in giftige Gase ein. Der Nebel richtet 2 Punkte + 1-2 Punkte pro Fähigkeitswert in Wassermagie an. Der Schaden ist zwar gering, aber wenige Monster haben Resistenzen gegen ihn.	1 Giftnebel für 2 Zauberpunkte.	3 Giftnebel für 4 Zauberpunkte.	5 Giftnebel für 6 Zauberpunkte.	7 Giftnebel für 8 Zauberpunkte.	P
25	3	Kälte - Resistenz	none	Kälteres.	Erhöht die Resistenz aller Charaktere gegen Kälte entsprechend dem Fähigkeitswert in Wassermagie für 1 Stunde pro Fähigkeitswert.	1 Punkt Resistenz pro Fähigkeitswert.	2 Punkte Resistenz pro Fähigkeitswert.	3 Punkte Resistenz pro Fähigkeitswert.	4 Punkte Resistenz pro Fähigkeitswert.	P
26	4	Eisstrahl	Cold	Eis	Der Zauber schleudert einen eisigen Strahl auf einen Gegner. Dieser Zauber verfehlt nie sein Ziel. Der Schaden beträgt 1-4 Punkte pro Fähigkeitswert in Wassermagie.	Langsame Erhohlungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMEC
27	5	Wasserwandeln	none	Wasserw.	Die Gruppe kann nun über Wasser gehen, ohne zu ertrinken. Alle 20 Minuten, die die Gruppe auf dem Wasser spaziert, kostet den Zaubernden einen zusätzlichen Zauberpunkt.	nicht möglich	Zauberdauer: 10 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde pro Fähigkeitswert.	Die Gruppe kann nun über Lava gehen.	P
28	6	Aufladen	none	Aufladen	Manche magischen Artefakte haben einen begrenzten Vorrat an Ladungen. Dieser Zauber kann verbrauchte Ladungen erneuern. Allerdings wird der maximale Vorrat an verbrauchten Ladungen bei jeder Anwendung des Zaubers permanent um 50% - 1% pro Fähigkeitswert in Wassermagie reduziert.	nicht möglich	Der Gegenstand verliert 50% - 1% pro Fähigkeitswert an Ladungen.	Der Gegenstand verliert 30% - 1% pro Fähigkeitswert an Ladungen.	Der Gegenstand verliert 20% - 1% pro Fähigkeitswert an Ladungen.	PE
29	7	Säurestrahl	Pois	Säure	Schleudert einen Strahl ätzender Säure auf einen einzelnen Gegner. Der Schaden beträgt 9 Punkte + 1-9 Punkte pro Fähigkeitswert in Wassermagie. 	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMC
30	8	Verzaubern	none	Verzaubern	Verleiht einem normalen Gegenstand magische Kräfte. Der Zauber schlägt fehl, wenn der Gegenstand von zu geringer Qualität ist, aber mit höheren Fähigkeitswerten in Wassermagie lassen sich auch billigere Gegenstände verzaubern. Großmeister können mächtigere Verzauberungen hervorbringen. Dieser Zauber ist zum Mittag am stärksten.	nicht möglich	nicht möglich	Durchschnittliche Verzauberungen.	Starke Verzauberungen.	P
31	9	Stadtportal	none	Portal	Teleportiert die Gruppe zu dem zentral gelegenen Brunnen einer jeden Stadt, die die Gruppe bereits besucht hat. Wenn feindlich gesinnte Monster in der Nähe sind, hat der Zauber eine Chance von 5% pro Fähigkeitswert in Wassermagie, daß er funktioniert, andernfalls gelingt es immer.	nicht möglich	nicht möglich	Teleportiert in die zuletzt besuchte Stadt.	Kann jede besuchte Stadt auswählen.	P
32	10	Eissturm	Cold	Eissturm	Schleudert eine Kugel aus Eis in die Richtung, in die der Zauberer schaut. Die Kugel zerbirst, wenn sie etwas trifft und schleudert 7 Eissplitter in alle Richtung, außer in die des Zauberers. Die Splitter schießen so lange hin und her, bis sie etwas treffen oder schmelzen. Jeder Splitter verursacht 12 Punkte Schaden + 1-6 Punkte pro Fähigkeitswert in Wassermagie.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	PMEC
33	11	Leuchtfeuer	none	Leuchtf.	Dieser Zauber erlaubt es einem Zauberer, einen Ort zu markieren, zu welchem die Gruppe sich später zurück teleportieren kann. Ein Leuchtfeuer bleibt für zwei Tage pro Fähigkeitswert in Wassermagie bestehen. Sie können nur einmal am Tag pro 3 Fähigkeitspunkte in Wassermagie zu Ihren Markierungen zurückkehren, aber das Setzen von Markierungen ist unbegrenzt möglich. Achtung: Wenn Sie direkt nach dem Meditieren in einer Magiergilde mit diesem Zauber teleportieren, werden die Zauberpunkte Ihres Charakters stark beeinträchtigt werden!	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	P
	Lvl	Earth Spells	Res		Spell Description					
34	1	Betäuben	Magic	Betäuben	Der Zauber verprügelt Monster mit magischer Kraft und zwingt diese, sich zunächst von den betäubenden Schlägen zu erholen, bevor sie etwas tun können. Auch läßt er die Gegner zurücktaumeln, so daß sich die Chance zur Flucht bietet. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Erdmagie ab.	Durchschnittliche Erholungszeit.	Schnelle Erholungzeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PC
35	2	Verlangsamen	Magic	Langsam	Halbiert die Bewegungsweite und verdoppelt die Erholungszeit eines einzelnen Gegners. Der Gegner kann nur halb so oft zuschlagen und wird kaum mithalten, sollte die Gruppe fliehen wollen. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Erdmagie ab.	Zauberdauer: 5 Minuten pro Fähigkeitswert.	Zauberdauer: 20 Minuten pro Fähigkeitswert.	Gegner werden auf 1/4 verlangsamt.	Gegner werden auf 1/8 verlangsamt.	PC
