Stats Descriptions	Description
Might	Stärke ist das Attribut, daß die allgemeine körperliche Kraft des Charakters und seine Fähigkeit, diese richtig einzusetzen wiederspiegelt. Charaktere mit hoher Stärke verursachen mehr Schaden im Kampf.
Intellect	Intellekt gibt die Fähigkeit eines Charakters an, komplexe oder abstrakte Sachverhalte zu verstehen und die richtigen Schlüsse daraus zu ziehen. Ein hoher Intellekt beeinflußt die Zauberpunkte der Druiden, Zauberer, Schützen, Ranger und Diebe. Es wirkt sich auch auf die Zauberkraft aus.
Personality	Charisma beinhaltet sowohl die Willensstärke eines Charakters, als auch seinen persönlichen Charme. Die Zauberpunkte der Kleriker, Paladine, Mönche und Druiden hängen von ihrem Charisma ab. Es wirkt sich auch auf die Händlerpreise aus.
Endurance	Ausdauer ist ein Maß für die physische Widerstandskraft und das Durchhaltevermögen eines Charakters. Eine hohe Ausdauer verleiht einem Charakter mehr Trefferpunkte.
Agility	Geschick stellt die Zielgenauigkeit und die Hand-Augen-Koordination eines Charakters dar. Hohes Geschick ermöglicht es einem Charakter, den Gegner im Kampf öfter zu treffen.
Speed	Reaktion ist ein Maß der Geschwindigkeit des Charakters. Eine hohe Reaktion erhöht die Rüstungsklasse und senkt die Erholungszeit nach Angriffen.
Luck	Glück hat einen subtilen Einfluß auf das ganze Spiel, allerdings ist der offensichtlichste Effekt die Fähigkeit eines Charakters, magischen Angriffen zu widerstehen und dem Schaden, der durch Fallen entsteht, zu entgehen oder ihn zu mindern.
Hit Points	Trefferpunkte zeigen an, wieviel Schaden ein Charakter einstecken kann, bevor er bewußtlos wird oder gar stirbt. Ab 0 oder weniger Trefferpunkten wird ein Charakter bewußtlos. Nach 8 Stunden ununterbrochenen Schlafes sind die Trefferpunkte wiederhergestellt. Einige magische Effekte können die Trefferpunkte eines Charakters über sein normales Maximum hinaus erhöhen, doch der Überschuss verflüchtigt sich schnell wieder.
Armor Class	Rüstungsklasse ist ein Maß dafür, wie schwer es für ein Monster wird, den Charakter mit einem Angriff zu verwunden. Je höher die Rüstungsklasse, desto größer ist die Wahrscheinlichkeit, dem Angriff zu entgehen.
Spell Points	Zauberpunkte werden durch Anwendung von Zaubersprüchen verbraucht. Jeder Zauber verursacht Anstrengungen, die von diesem Wert abgezogen werden. Nach 8 Stunden ununterbrochenen Schlafes sind die Zauberpunkte wiederhergestellt. Einige magische Effekte können die Zauberpunkte eines Charakters über ihr normales Maximum hinaus erhöhen, doch der Überschuss verflüchtigt sich schnell wieder.
Condition	Der Zustand eines Charakters zeigt den schlechtesten 'Effekt' an, unter dem er zur Zeit leidet, wie z.B. Vergiftet, Erkrankt oder Tot. Viele Zustände verschlechtern erheblich die Fähigkeiten des Charakters zu kämpfen und sollten so schnell wie möglich geheilt werden.
Quick Spells	Die fünf Quick-Zauber werden ausgelöst, wenn die Tasten 'S7890' gedrückt werden; der erste wird ausgelöst wenn Sie bei gedrückter Strg-Taste auf ein Monster klicken. Ein Quick-Zauber kann bestimmt werden, indem das Zauberbuch geöffnet ('C'), der gewünschte Zauber und dann auf einen der 'Standard'-Button, ganz am unteren Rand des Zauberbuches, angeklickt wird.

Definierte Quick-Zauber:
Age	Alter zeigt das Alter des Charakters an. Die erste Zahl zeigt das momentane Alter, die zweite Zahl das reale Alter an. Bestimmte Monster und magische Effekte können das momentane Alter über das reale anheben.
Level	Die Stufe eines Charakters ist ein Maß für seine bisherige Ausbildung. Eine hohe Stufe gewährt Treffer- und Zauberpunkte. Eine vorübergehende Erhöhung der Stufe kann sich auch auf die Fähigkeitswerte auswirken.
Experience	Erfahrung ist ein einfacher Wert für das generelle Verständnis der Charaktere ihrer Welt. Mit ausreichend Erfahrungspunkten (und ein wenig Gold) können sich die Charaktere in Ausbildungsstätten unterweisen lassen, um ihre Stufe zu erhöhen und Fähigkeitspunkte zu erhalten, die sie auf ihre Fähigkeiten verteilen können.
Attack Bonus	Der Angriffsbonus ist die Summe aller Faktoren (Fähigkeit, Zauber, Geschick, usw.), die die Wahrscheinlichkeit beeinflussen, mit der geführten Waffe einen Gegner zu treffen.
Attack Damage	Der Angriffsschaden ist die Summer aller Faktoren (Stärke, Zauber, bestimmte Fähigkeiten auf dem Experten oder Meisterrang, usw.), die den verursachten Schaden mit der geführten Waffe beeinflussen.
Shoot Bonus	Der Fernkampfbonus ist die Summe aller Faktoren (Fähigkeit, Zauber, Geschick, usw.), die die Wahrscheinlichkeit beeinflussen, mit einer Fernwaffe einen Gegner zu treffen.
Shoot Damage	Der Fernkampfschaden ist die Summe aller Faktoren (Zauber, Waffenbonus, usw.), die den verursachten Schaden einer Fernwaffe beeinflussen.
Fire	Die Feuer - Resistenz ist ein Maß für die Fähigkeit eines Charakters, den Schaden durch Angriffe mit Feuermagie zu senken. Obwohl ein hoher Wert den Schaden deutlich reduzieren kann, ist ein Charakter jedoch nie völlig immun.
Shock	Die Elektrizität - Resistenz ist ein Maß für die Fähigkeit eines Charakters, den Schaden durch Angriffe mit Luftmagie zu senken. Obwohl ein hoher Wert den Schaden deutlich reduzieren kann, ist ein Charakter jedoch nie völlig immun.
Cold	Die Kälte - Resistenz ist ein Maß für die Fähigkeit eines Charakters, den Schaden durch Angriffe mit Wassermagie zu senken. Obwohl ein hoher Wert den Schaden deutlich reduzieren kann, ist ein Charakter jedoch nie völlig immun.
Poison	Die Gift - Resistenz ist ein Maß für die Fähigkeit eines Charakters, den Schaden durch Angriffe mit Erdmagie zu senken. Obwohl ein hoher Wert den Schaden deutlich reduzieren kann, ist ein Charakter jedoch nie völlig immun.
Mind	Die Geistes - Resistenz ist ein Maß für die Fähigkeit eines Charakters, den Schaden durch Angriffe mit Geistesmagie zu senken. Obwohl ein hoher Wert den Schaden deutlich reduzieren kann, ist ein Charakter jedoch nie völlig immun.
Magic	Die Magie - Resistenz ist ein Maß für die Fähigkeit eines Charakters, den Schaden durch Angriffe mit Körpermagie zu senken. Obwohl ein hoher Wert den Schaden deutlich reduzieren kann, ist ein Charakter jedoch nie völlig immun.
Skill Points	Fähigkeitspunkte werden an Charaktere vergeben, sobald diese eine neue Stufe erreichen. Diese Punkte können zu beliebiger Zeit auf die Fähigkeiten verteilt werden.
