#	Greeting 1	Greeting 2	Notes	Owner
1	Ich bin Lord Markham, der Wohltäter, der das Schloß stiftet, das als Preis bei diesem Wettbewerb aussteht.	Schön Euch wiederzusehen, wie geht die Suche vorwärts?		Markham
2	Seid gegrüßt, mein Name ist Thomas. Ich bin der Schiedsrichter dieses Wettbewerbs.	Habt Ihr schon alles auf der Liste zusammen?		Judge
3	Willkommen auf der Smaragdinsel, mein Name ist Margaret und ich werde während Eures Aufenthalts Eure Führerin sein.	Was möchtet Ihr wissen?		Docent
4	Hallo, mein Name ist Ailyssa. Ich bin die Bardin, die für die Unterhaltung auf der Smaragdinsel verantworlich ist, solange der Wettbewerb läuft.	Hallo nochmal, wie kommt Ihr voran?		Bard
5	Hey Ihr! Ich bin Sally. Normalerweise treffe ich so weit entfernt vom Dorf niemanden, habt Ihr Euch verlaufen?	Immer noch hier draußen? Das Dorf ist etwas weiter südlich.		Sally
6	Pssst…  kommt mal her, ich habe ein Angebot für Euch.	Ah, Ihr seid zurück, zweifellos, um meinen Vorschlag anzuhören.		Malwick
7	Hallo, Fremde <blinzel>. Schönes Wetter haben wir, oder nicht?	Habt Ihr gerufen, Fremde? <flüster> Laßt mich in Ruhe, versucht Ihr Euch absichtlich erwischen zu lassen?!		Malwick
8	Hallo, meine Freunde. Kann ich kurz mit Euch sprechen?	Hallo...Freunde.		Sal
9	Ich glaube nicht, daß wir etwas zu besprechen haben.	Ich glaube nicht, daß wir etwas zu besprechen haben.		Malwick
10	Seid freundlichst gegrüßt. Ich bin Brent Filiant, ein Wettbewerber in Lord Markhams großer Suche.	Seid gegrüßt, meine Freunde.		Brent
11	Hallo, ich bin Carolyn. Ich kümmere mich um die Gilden - Mitgliedschaften für die Feuer- und die Luft - Gilde hier auf der Insel.	Hallo, ich bin Carolyn. Ich kümmere mich um die Gilden - Mitgliedschaften für die Feuer- und die Luft - Gilde hier auf der Insel.		Elemental Guild Membership
12	Ich bin Roger und ich verkaufe Mitgliedschaften für die Körper- und die Seelen - Gilde auf der Smaragdinsel.	Ich bin Roger und ich verkaufe Mitgliedschaften für die Körper- und die Seelen - Gilde auf der Smaragdinsel.		Self Guild Membership
13	Ahoy Matrosen! Ich bin William Darvees, Captain dieses schmucken Schiffs.	Aye, schön Euch zu sehen, Landratten!		
14	Hallo, mein Name ist Donna, ich lebe hier mit meiner Tochter Sally.	Hallo mal wieder, was kann ich für Euch tun?		Donna
15	Hi, ich bin Grant. Tor läßt mich hier hinten im Laden wohnen, solange ich sein Lehrling bin.	Hallo, braucht Ihr etwas?		Grant
16	Seid gegrüßt, ich bin Mia. Benötigt Ihr etwas?	Ja?  Was wollt Ihr?		Mia
