A Bit	Awards	Sort	Notes
1	Штраф к уплате: %lu	1	
2	Выиграна Гонка за мусором на Изумрудном острове	2	
3	Найдены пропавшие участники гонки на Изумрудном острове	3	
4	Изгнаны гоблины из замка Хармондейл	2	
5	Спасены гномы из Копей красных гномов	2	
6	Спасен Лорен Стил	2	
7	Лже-Лорен передан Катерине	2	
8	Раздобыты планы форта Риверстрайд	2	
9	Фальшивые планы переданы Королю эльфов	2	
10	Повышение до Разбойника	4	
11	Повышение до Почетного Разбойника	4	
12	Повышение до Шпиона	4	
13	Повышение до Почетного Шпиона	4	
14	Повышение до Наемного убийцы	4	
15	Повышение до Поч. Наемного убийцы	4	
16	Повышение до Всадника	4	
17	Повышение до Почетного Всадника	4	
18	Повышение до Чемпиона	4	
19	Повышение до Почетного Чемпиона	4	
20	Повышение до Черного рыцаря	4	
21	Повышение до Поч. Черного рыцаря	4	
22	Повышение до Посвященного	4	
23	Повышение до Почетного Посвященного	4	
24	Повышение до Магистра	4	
25	Повышение до Почетного Магистра	4	
26	Повышение до Ниндзя	4	
27	Повышение до Почетного Ниндзя	4	
28	Повышение до Охотника	4	
29	Повышение до Почетного Охотника	4	
30	Повышение до Властелина-рейнджера	4	
31	Повышение до Поч. Властелина-рейнджера	4	
32	Повышение до Охотника за головами	4	
33	Повышение до Поч. Охотника за головами	4	
34	Повышение до Мага-воина	4	
35	Повышение до Почетного Мага-воина	4	
36	Повышение до Мастера стрелка	4	
37	Повышение до Поч. Мастера стрелка	4	
38	Повышение до Снайпера	4	
39	Повышение до Почетного  Снайпера	4	
40	Повышение до Крестоносца	4	
41	Повышение до Почетного Крестоносца	4	
42	Повышение до Героя	4	
43	Повышение до Почетного Героя	4	
44	Повышение до Злодея	4	
45	Повышение до Почетного Злодея	4	
46	Успешно пройдены испытания чародеев	2	
47	Найдены обе части алтаря	2	Used on two sides
48	Убит Ксенофекс	2	Used on two sides
49	Разгадана Тайна винного погреба	2	
50	Получено членство в Гильдии Стихий	5	
51	Получено членство в Гильдии Эго	5	
52	Получено членство в Гильдии Воздуха	5	
53	Получено членство в Гильдии Земли	5	
54	Получено членство в Гильдии Огня	5	
55	Получено членство в Гильдии Воды	5	
56	Получено членство в Гильдии Тела	5	
57	Получено членство в Гильдии Мысли	5	
58	Получено членство в Гильдии Духа	5	
59	Получено членство в Гильдии Света	5	
60	Получено членство в Гильдии Тьмы	5	
61	Найдено Сердце Леса	3	
62	Повышение до Священника	4	
63	Повышение до Почетного Священника	4	
64	Повышение до Священника Света	4	
65	Повышение до Поч. Священника Света	4	
66	Повышение до Священника Тьмы	4	
67	Повышение до Поч. Священника Тьмы	4	
68	Повышение до Великого друида	4	
69	Повышение до Поч. Великого друида	4	
70	Повышение до Верховного Друида	4	
71	Повышение до Поч. Верховного Друида	4	
72	Повышение до Чернокнижника	4	
73	Повышение до Поч. Чернокнижника	4	
74	Повышение до Чародея	4	
75	Повышение до Почетного Чародея	4	
76	Повышение до Архимага	4	
77	Повышение до Почетного Архимага	4	
78	Повышение до Лича	4	
79	Повышение до Почетного Лича	4	
80	Найдены Сосуды Души	2	Used on two sides
81	Убит Толберти	2	
82	Очищена Лаборатория Кланкера	2	
83	Убит Роберт Мудрый	2	
84	Успешно пройдены испытания в Инкубаторе	2	
85	Смертей - %u	1	
86	Получено премий - %u	1	
87	Отсижено сроков в тюрьме - %u	1	
88	Побед на Арене Пажей - %u	1	
89	Побед на Арене Оруженосцев - %u	1	
90	Побед на Арене Рыцарей - %u	1	
91	Побед на Арене Лордов - %u	1	
92	Возвращен Фонарь Витерна	3	
93	Возвращен прах Халдара	3	
94	Возвращен перстень с печатью лорда Дэврика	3	
95	Перо Парсона возвращено Норберту Трашу	3	
96	Свирель возвращена Иоханну Керриду	3	
97	Убийца троглодитов	3	
98	Убийца грифонов	3	
99	Найдена Епитрахиль Времен Года	3	
100	Найдены и размещены все статуэтки	3	
101	Найдены все части триптиха	3	
102	Чемпион АркоМэйдж	3	
103	Побед в АркоМэйдж: %lu	1	
104	Поражений в АркоМэйдж: %lu	1	
105	Найдено зеркало Медузы	3
106	Охотник на мантикор	3
107	Чемпион Арены	1
108	Найдено сокровище обелисков	1
