Class	Descriptions	Notes
Рыцарь	"Рыцари - это класс профессиональных бойцов.  Рыцарям изначально предоставлен самый большой выбор оружия и доспехов, и в перспективе они могут использовать любую экипировку, превосходя другие классы в рукопашном уроне.  У персонажей класса Рыцарь наибольшее количество единиц здоровья, а впоследствии, с переходом на каждый новый уровень, у рыцарей это количество растет больше, чем у других классов.  Рыцарь не может учить заклинания, а, соответственно, не может овладеть навыком Медитации по причине ненадобности."	Knight
Всадник	"Всадник - это первая ступень улучшения в классе Рыцарь.  Всадники могут продвинуть свои навыки до мастера, а также купить боевого коня в конюшне.  Всадники в дальнейшем могут быть продвинуты до Чемпионов, известных своим мастерством тактики, или до Черных Рыцарей, которые сражаются не столь благородными методами."	Knight
Чемпион	"Чемпион - это вторая и последняя ступень продвижения в ранге тех рыцарей, что следуют тропой Света.  Чемпионы могут стать великими магистрами в навыках владения щитом, мечом, копьем, латами, а также оружейника, атлетики, и починки.  Они также разбираются в тактике боя, и под их командованием весь отряд атакует и обороняется более эффективно."	Knight
Черный Рыцарь 	"Черный Рыцарь - это вторая и последняя ступень продвижения в ранге тех рыцарей, что следуют тропой Тьмы.  Черные Рыцари могут стать великими магистрами в навыках владения щитом, мечом, копьем, латами, а также оружейника, атлетики, и починки.  Также они иногда наводят Порчу при атаке в ближнем бою, чуть более часто наносят критические удары, и поверхностно знакомы с воровским делом."	Knight
Вор	"Персонажи класса Вор для схваток подходят меньше, нежели для применения практических навыков, таких, как воровство и нейтрализация ловушек.  И хотя навыки Воров в обращении с оружием и доспехами уступают рыцарским, Воры, тем не менее, превосходят в бою те классы, что частично или полностью наделены способностью использовать заклинания.  Воры могут со временем научиться использовать заклинания Огня и Воздуха, но им никогда не добиться в этом очень хороших результатов."	Thief
Разбойник	"Разбойник - это первая ступень улучшения в классе Вор.  Разбойники могут улучшить многие навыки до мастера, а также получают скромные магические способности.  В дальнейшем они могут быть продвинуты до Шпионов, специализирующихся в сборе информации, или до более сфокусированных на бое Наёмных убийц."	Thief
Шпион	"Класс Шпион - это последняя ступень продвижения в ранге тех воров, что следуют тропой Света.  Шпионы могут стать мастерами магии Воздуха и великими магистрами в навыках ношения кожаных доспехов, владения кинжалом и древним оружием, нейтрализации ловушек, воровства, опознания предметов и восприятия."	Thief
Наемный убийца	"Класс Наемный убийца - это последняя ступень продвижения в ранге тех воров, что следуют тропой Тьмы.  Наемные убийцы могут стать мастерами магии Огня и великими магистрами в навыках ношения кожаных доспехов, владения кинжалом и древним оружием, нейтрализации ловушек, воровства, опознания предметов и алхимии."	Thief
Монах	"Монахи в основном не используют оружия в бою.  Монахи уступают в бою только рыцарям и могут использовать заклинания школ Духа и Тела при продвижении в Посвящённые."	Monk
Посвящённый 	"Посвящённый - это первая ступень улучшения в классе Монах.  Посвящённые могут продвинуть несколько навыков до уровня мастера.  Также они получают способность использовать заклинания Церковных школ магии.  Посвящённые в дальнейшем могут быть продвинуты до более толковых в магии Мастеров, или до Ниндзя, талантливых в воровстве."	Monk
Мастер	"Мастер - это последняя ступень продвижения в ранге тех монахов, что следуют тропой Света.  Они могут стать мастерами своих магических навыков.  Монахи могут стать великими магистрами в навыках ловкости, ношения кожаной брони, рукопашного боя, владения посохом, обучения и атлетики."	Monk
Ниндзя 	"Ниндзя - это последняя ступень продвижения в ранге тех монахов, что следуют тропой Тьмы.  Ниндзя могут стать великими магистрами в навыках ловкости, ношения кожаных доспехов, рукопашного боя, владения посохом, обучения и атлетики.  Они также могут улучшить свои навыки воровства и нейтрализации ловушек."	Monk
Паладин	"Паладины являются смешением классов Клирик и Рыцарь.  Имея способность действовать, как оба класса, они, тем не менее, не могут достичь совершенства ни в одном из них.  Как и Рыцари, Паладины могут овладеть любым типом оружия или доспехов, хотя изначально не имеют того же богатства выбора.  Паладины также изначально обладают способностью использовать школу магии Духа, а позже могут овладеть и другими Церковными школами магии, хотя и не так хорошо.  Со временем Паладины смогут либо стать мастерами магии Света, либо кое-как овладеть Тьмой, но изучение какой-либо школы магии Стихий для них невозможно."	Paladin
Крестоносец	"Крестоносец - это первое продвижение для класса Паладин.  Крестоносцы могут стать мастерами в нескольких навыках, включая магию Духа, а другие Церковные школы могут быть продвинуты до эксперта.  Позднее они быть улучшены до харизматичных Героев, чьё мастерство в магии Света уступает только Священникам и Архимагам, или до подлых Злодеев, которые тем не менее сражаются чуть лучше."	Paladin
Герой	"Герой - это второе и последнее продвижение тех паладинов, что следуют тропой Света.  Герои могут стать великими магистрами в навыках починки предметов, владения булавой и щитом, торговли, магии Духа и Тела.  Герои также получают способность изучать заклинания магии Света, вплоть до уровня мастера."	Paladin
Злодей	"Злодей - это второе и последнее продвижение тех паладинов, что следуют тропой Тьмы.  Злодеи могут стать великими магистрами в навыках починки предметов, магии Духа, Разума, владения булавой и щитом.  Они также могут научиться воровать.  Наконец, Злодеи обретают ограниченную возможность овладевать заклинаниями магии Тьмы."	Paladin
Стрелок	"Подобно паладинам, Стрелок - это класс-гибрид двух других: Рыцаря и Волхва.  Стрелки могут овладеть всеми видами оружия, кроме булавы (разумеется, лучше всего они владеют луком), но навыки владения щитом или латами им не доступны.  Однако, это компенсируется за счет возможности обучения магии Стихий, особенно Воздуха.  Высшие школы магии Тьмы и Света станут доступны после второго продвижения, но в совершенстве овладеть этими навыками стрелки не могут."	Archer
Маг-воин	"Маг-воин - это первое продвижение класса Стрелок.  Маги-воины могут стать мастерами в некоторых навыках, включая магию Воздуха, а также экспертами в других школах магии Стихий.  Дальше они могут выбрать продвижение до Мастеров стрелков, более искусных в магии Воды, или до Снайперов, лучше разбирающихся в магии Огня."	Archer
Мастер стрелок	"Мастер стрелок - это второе и последнее продвижение стрелков, что следуют тропой Света.  Мастера стрелки могут стать великими магистрами в навыках ношения кольчуги, владения луком и древним оружием, магии Воздуха, Воды и восприятия.  Мастера стрелки также обладают способностью изучать заклинания магии Света."	Archer
Снайпер	"Снайпер - это второе и последнее продвижение тех стрелков, что следуют тропой Тьмы.  Снайперы могут стать великими магистрами в навыках ношения кольчуги, владения луком и древним оружием, магии Огня, Воздуха и восприятия.  Снайперы также обладают возможностью изучать заклинания магии Тьмы.  Наконец, Снайперы - превосходные стрелки и никогда не промахиваются при стрельбе из лука."	Archer
Рейнджер	"Рейнджеры - это смешение классов Рыцарь и Друид.  Из всех доступных классов, рейнджеры могут изучить наиболее широкий спектр навыков, однако, лишь некоторые из этих навыков станут доступны им в полной мере.  Рейнджеры со временем смогут изучить некоторые школы Стихий и Церковной магии (все, кроме Воздуха и Духа), до различных уровней мастерства.  Рейнджеры также могут обучиться навыкам обращения почти с любыми видами оружия и доспехов, а также вторичным умениям, но навыки ношения лат и владения булавой останутся вне сферы их компетенции."	Ranger
Охотник	"Охотник - это первое продвижение персонажей класса Рейнджер.  Охотники получают колдовской дар и могут развить навык магии Земли до мастера, а другие свои магические навыки - до уровня эксперта.  Также они могут стать мастерами нескольких других навыков.  Охотники могут в дальнейшем продвинуться до более защищённых Властелинов-рейнджеров, или до Охотников за головами, специализирующихся в воровском деле."	Ranger
Властелин-рейнджер	"Властелин-рейнджер - это последнее доступное повышение ранга тех рейнджеров, что следуют тропой Света.  Властелины-рейнджеры могут стать великими магистрами в навыках владения топором и кольчугой, магии Земли и Тела, восприятия и опознавания монстров, и мастерами магии Воды."	Ranger
Охотник за головами	"Охотник за головами - это последнее доступное повышение ранга для тех рейнджеров, что следуют тропой Тьмы.  Охотники за головами могут стать великими магистрами в навыках владения топором, магии Земли и Воды, восприятия и опознавания монстров, и мастерами магии Тела, нейтрализации ловушек и воровства.  Они также получают очки навыков при сдаче монстров в ратуши."	Ranger
Клирик	"Клирики - это заклинатели и искатели приключений, следующие дорогой святости.  Клирик - боец посредственный, но вот заклинатель прекрасный.  Он обладает набором заклинаний лечебного и защитного характера.  Клирики и Волхвы - это единственные два класса, представители которых могут стать великими магистрами на Зеркальной Тропе Света и Тьмы и изучить необычайные заклинания обеих высших школ.  Но, к сожалению, в выборе оружия они значительно ограничены, располагая возможностью использования лишь булавы, посоха и расового оружия.  В плане обороны им повезло больше: клирики могут носить (хоть и не всегда умело) любые типы брони."	Cleric
