Global Text	
	
0	Класс брони
1	Меткость
2	Ч.Рыцарь 
3	Шпион
4	Страх
5	Возраст
6	Воздух
7	Алхимик
8	Надписи на обелисках
9	Поздравления!
10	Портал города
11	Доспехи
12	Кл.брони
13	Наемный убийца
14	Сон
15	Ошибка (%d, %s)
16	Автосохранение
17	Опыт
18	Атака
19	Доступно
20	Доступные навыки
21	Монах
22	Заслуги
23	Заслуги для
24	Уст. к Огню
25	Баланс
26	Посвящённый 
27	Ниндзя
28	Злодей
29	Тело
30	Бонус
31	Рейнджер
32	Сломанный предмет
33	Властелин-рейнджер
34	Отмена
35	Портал города. Цель: %s
36	^Pv[%s] нельзя так использовать
37	Общее время:
38	Произнести заклинание
39	Выберите цель
40	Охотник за головами
41	Класс
42	клерк
43	Холод
44	Священник Света
45	Сост.
46	Священник Тьмы
47	Состояние
48	Чернокнижник
49	Лич
50	Ловкость
51	С О З Д А Т Ь  О Т Р Я Д
52	Порча
53	Урон
54	Тьма
55	Рассвет
56	День
57	дней
58	Смерть
59	Внутренняя ошибка
60	Положить
61	Нажмите Escape
62	Для запуска игры Меч и Магия VII в окне необходимо установить настройки дисплея в режим глубины цвета 16 bit (32k или 65k).
63	Игра Меч и Магия VII не может загрузить файлы. Для устранения этой проблемы, пожалуйста, установите игру заново. Примечание: Переустановка игры не повредит ваши файлы с сохраненными играми.
64	Переключение детализации
65	Болезнь
66	Повр.
67	У ^Pr[%s] нет навыка
68	Пожертвовать
69	Навеселе
70	Земля
71	Гром
72	Пусто
73	Войти
74	Закончить беседу
75	Выносливость
76	Уничтожен
77	Рукопашный бой
78	Календарь
79	Закрыть
80	Выйти из здания
81	Закончить отдыхать
82	Вы уверены? Щелкните мышью еще раз для выхода
83	Опыт
84	Слава
85	Сведения о снадобьях
86	Купить еды на ^I[%d] д^L1[ень;ня;ней] за ^I[%d] золот^L2[ой;ых;ых]
87	Огонь
88	Опознание монстров
89	Оружейник
90	Воровство
91	пятница
92	Полная
93	Настройки игры
94	Ваш счет: %lu
95	Алхимия
96	Магистр
97	Золото
98	Хорошее
99	Человек
100	страж^R[;ница;]
101	Гном
102	Половина
103	Эльф
104	Лечить
105	знахар^R[ь;ка;]
106	Гоблин
107	Здор.
108	Здоровье
109	Час
110	Часов
111	Большой
112	Сколько?
113	Опознать
114	Разбойник
115	инструктор
116	Интеллект
117	Безумство
118	Мы надеемся, что вам понравилось играть в Меч и Магию VII так же как нам понравилось работать над ней. Мы сохранили изображение этого экрана под именем MM7_WIN.PCX в вашей папке MM7. Вы можете распечатать его в качестве свидетельства прохождения игры.
119	Мастер стрелок
120	Вещи
121	Постоянно
122	Вступить
123	Разные примечания
124	Снайпер
125	+2 очка навыков!
126	Вы хотите покинуть ^Pv[%s]?
127	Нет текста!
128	Потребуется ^I[%d] д^L[ень;ня;ней] для путешествия в ^Pv[%s].
129	%s  %u уровень - %s
130	Игрок
131	Уров.
132	лет
133	Свет
134	Купить обычные вещи
135	Загрузка
136	Удача
137	Сведения о фонтанах
138	Магия
139	Карты
140	Вы уже купили еду!
141	Сведения от Провидца
142	Мысль
143	Разное
144	Сила
145	понедельник
146	Месяц
147	Вы можете обучиться до %u.
148	Месяцев
149	Имя
150	Новая
151	Поздравляем, искатель приключений.
152	Купить особые вещи
153	Нет
154	Автозаметки
155	У вас не хватает золота
156	Остаться в этой области
157	"© 2002 The 3DO Company. Все права защищены. 3DO, Might and Magic, For Blood and Honor, New World Computing и их соответствующие логотипы являются зарегистрированными торговыми знаками The 3DO Company в США и других странах. Все другие торговые знаки принадлежат их соответствующим владельцам. New World Computing является подразделением The 3DO Company. © 2003 Бука. Все права защищены. На территории России издается компанией Бука. Защиту авторских прав компании Бука на территории РФ осуществляет ассоциация Русский щит rshield@aha.ru"
158	Залив Бутлег восток
159	Показать снаряжение
160	Обучиться навыкам
161	Украсть
162	Паралич
163	Сила духа
164	%s наносит удар ^Pd[%s], отбирая %lu ед. здоровья
165	Пожалуйста, подождите
166	Яд
167	
168	Очки
169	Три четверти
170	Б.закл.
171	Четверть
172	Б. заклинание
173	Быстрая справка
174	Текущие задания
175	%s отнимает %lu ед. здоровья и убивает ^Pv[%s]
176	Игра Меч и Магия VII обнаружила внутреннюю ошибку и будет закрыта. Хотите ли вы сохранить текущую игру перед закрытием?
177	Стандартный
178	Снять комнату за ^I[%d] золот^L[ой;ых;ых]
179	Починить
180	Репутация
181	Украсть %24
182	Отдохнуть
183	Отдых и лечение 8 часов
184	Требуется переустановка
185	Украсть предмет
186	Время в Эрафии
187	Украдено
188	суббота
189	%s стреляет в ^Pv[%s], отнимая %lu ед. здоровья
190	Сохранение
191	Вас выставили вон из этой лавки!
192	Пролистать вверх
193	Пролистать вниз
194	Уст. к Холоду
195	Выберите предмет для покупки
196	Выберите особый предмет для покупки
197	Выберите предмет для опознания
198	Выберите предмет для починки
199	Выберите предмет для продажи
200	Продать
201	Вы уверены? Нажмите еще раз, чтобы начать новую игру.
202	Уст. к Грому
203	Стрелять
204	Уст. к Яду
205	Навыки
206	Навыки для
207	Очки навыков
208	Уст. к Магии
209	Магия
210	Особые
211	Скорость
212	Магия
213	Уст. к Мысли
214	Дух
215	Детектор Жизни
216	Данные
217	Невидимость
218	Кольцо Огня
219	День Богов
220	Окаменение
221	Судьба
222	воскресенье
223	
224	
225	Великий магистр
226	"Гамма регулирует относительную яркость изображения в игре. Зависит от вашего монитора."
227	четверг
228	Руки-молоты
229	Отражение Боли
230	вторник
231	В коме
232	Не определено
233	Сохранение
234	Восстановление
235	Врем. меткость
236	Ждать без лечения
237	Ждать до рассвета
238	Ждать 5 минут
239	Ждать 1 час
240	Вода
241	Слабость
242	Оружие
243	среда
244	Снять
245	Год
246	Врем. выносливость
247	Врем. интеллект
248	Врем. удача
249	Врем. сила духа
250	Вам требуется %s
251	Увеличить
252	Уменьшить
253	Рыцарь
254	Всадник
255	Чемпион
256	Клирик
257	Священник
258	Врем. скорость
259	Волхв
260	Чародей
261	Архимаг
262	Паладин
263	Крестоносец
264	Герой
265	Стрелок
266	ПОЛОЖИТЬ КАРТУ
267	Маг-воин
268	Друид
269	Великий друид
270	Верховный Друид
271	Посох
272	Меч
273	Кинжал
274	Топор
275	Копье
276	Лук
277	Булава
278	Бластер
279	Щит
280	Кожаные доспехи
281	Кольчуга
282	Латы
283	Огонь (Магия)
284	Воздух (Магия)
285	Вода (Магия)
286	Земля (Магия)
287	Свет (Магия)
288	Тьма (Магия)
289	Дух (Магия)
290	Мысль (Магия)
291	Тело (Магия)
292	Опознать предмет
293	Купец
294	Починить предмет
295	Атлетика
296	Медитация
297	Восприятие
298	Дипломатия
299	Воровство
300	Ловушки
301	Обучение
302	^Pi[%s] украл^R[;а;] ^I[%d] золот^L[ой;ых;ых]!
303	аристократ^R[;ка;]
304	чиновник
305	крестьян^R[ин;ка;]
306	учён^R[ый;ая;]
307	Вор
308	кузнец
309	оружейник
310	проводни^R[к;ца;]
311	охотни^R[к;ца;]-следопыт
312	следопыт
313	мореход
314	штурман 
315	знахар^R[ь;ка;]-эксперт
316	знахар^R[ь;ка;]-мастер
317	учитель^R[;ница;]
318	мастер по вооружению
319	мастер по оружию
320	подмастерье
321	мистик
322	мастер заклинаний
323	торгов^R[ец;ка;]
324	разведчи^R[к;ца;]
325	советни^R[к;ца;]
326	адвокат
327	лудильщи^R[к;ца;]
328	мастер по замкам
329	шут
330	трубочист
331	носильщи^R[к;ца;]
332	квартирмейстер
333	ростовщи^R[к;ца;]
334	банкир
335	повар^R[;иха;]
336	шеф-повар
337	конюх
338	музыкант^R[;ка;]
339	чародей^R[;ка;]
340	картограф
341	мастер ветров
342	мастер воды
343	мастер ворот
344	^R[дьякон;послушница;]
345	волынщи^R[к;ца;]
346	землепроходец
347	пират
348	оруженосец
349	медиум
350	цыган^R[;ка;]
351	переговорщи^R[к;ца;]
352	кидала
353	медвежатник
354	невольни^R[к;ца;]
355	портн^R[ой;иха;]
356	разнорабоч^R[ий;ая;]
357	фермер
358	бондарь
359	горшечник
360	ткач^R[;иха;]
361	башмачник
362	землекоп
363	мельник
364	плотник
365	каменотёс
366	скоморох
367	капканщик
368	попрошайка
369	конокрад
370	охотни^R[к;ца;]
371	писарь
372	проповедни^R[к;ца;]
373	последователь Баа
374	игрок
375	Установить Маяк
376	^Pv[%s] поймали на воровстве!
377	У ^Pr[%s] провалилась попытка украсть!
378	"%s %d, %d"
379	Ненавистный
380	Вы уже знаете заклинание %s
381	У вас нет навыка, чтобы выучить ^Pv[%s]
382	Этот игрок %s
383	его
384	ее
385	сэр
386	Сэр
387	леди
388	Лорд
389	Леди
390	брат
391	сестра
392	Недружелюбный
393	дочь
394	Неизвестный
395	утро
396	день
397	вечер
398	Выпить напиток
399	Нейтральная
400	Купить заклинания
401	Стоимость навыка: %lu
402	Дружелюбный
403	Вы уже имеете навык %s
404	Время - ^I[%d] д^L[ень;ня;ней], цель: %s
405	Стоимость: ^I[%d] золот^L[ой;ых;ых]
406	Нанять
407	Подробнее
408	Отпустить %s
409	Вы хотите покинуть ^Pv[%s]?
410	Покинуть ^Pv[%s]
411	Войти в ^Pv[%s]
412	Создание отряда не может быть завершено пока вы не выбрали для всех персонажей по два дополнительных навыка и не потратили все бонусные очки. 
413	Вы не можете потратить более 50 очков.
414	Это место открыто с %d%s до %d%s
415	январь
416	февраль
417	март
418	апрель
419	май
420	июнь
421	июль
422	август
423	сентябрь
424	октябрь
425	ноябрь
426	декабрь
427	%s не в состоянии %s
428	Заклинание не сработало
429	^Pi[%s] %s
430	%s теперь на уровне %lu и получает ^I[%lu] очк^L[о;а;ов] навыков!
431	Обычный
432	Мастер
433	Эксперт
434	Почтенная
435	Побеседовать с ^Pt[%s]
436	Минут
437	Минута
438	Секунд
439	Секунда
440	Мужество
441	Ускорение
442	Каменная кожа
443	Благословение
444	Ой!
445	День Удачи
446	Опознать не удалось
447	Точность
448	Починить не удалось
449	Сила
450	Активные заклинания: %s
451	Активные заклинания отряда
452	Свет факела
453	Око чародея
454	Падение пера
455	Полет
456	Хождение по Воде
457	Страж
458	Защита от огня
459	Защита от грома
460	Защита от холода
461	Защита от яда
462	Неизменность
463	Тип: %s
464	Количество зарядов
465	Реальная цена
466	Вы нашли ^I[%lu] золот^L[ой;ых;ых] (спутники забирают %lu)!
467	Вы нашли ^I[%lu] золот^L[ой;ых;ых]!
468	Щелчок здесь приведет к использованию ^I[%d] очк^L[а;ов;ов] навыков
469	Для улучшения требуется еще ^I[%d] очк^L[о;а;ов] навыков
470	Взять ^Pv[%s]
471	Вы нашли ^Pv[%s]!
472	 утра
473	 дня
474	Воскресить %s
475	Установить %s поверх %s
476	Установить в %s
477	Вы уже отдыхаете!
478	Вы не можете отдыхать в походовом режиме!
479	Здесь нельзя отдыхать!
480	Рядом враги!
481	Схватка!
482	У вас не хватает еды для отдыха
483	Установить ^Pv[%s] в качестве быстрого заклинания
484	Выберите заклинание и щелкните здесь для его установки
485	Произнести %s
486	Выбрать ^Pi[%s]
487	Вы уже овладели этим навыком!
488	У вас не хватает очков навыков!
489	"Всего у вас ^I[%d] золот^L[ой;ых;ых], %d в банке."
490	Вы нашли ^I[%d] золот^L[ой;ых;ых] и предмет (%s)!
491	Нельзя произнести заклинание Поток метеоров в помещении!
492	Нельзя произнести заклинание Адский огонь на открытом пространстве!
493	Нельзя произнести заклинание Прыжок в воздухе! 
494	Нельзя произнести заклинание Полет в помещении!
495	Нельзя произнести заклинание Звездопад в помещении!
496	Нет подходящих целей! 
497	Нельзя произнести заклинание Свет призмы на открытом пространстве!
498	Лекарь - травник
499	Нельзя произнести заклинание Армагеддон в помещении!
500	У вас ^I[%lu] золот^L[ой;ых;ых]
501	У вас еды на ^I[%lu] д^L[ень;ня;ней]
502	Вы нашли еды на ^I[%lu] д^L[ень;ня;ней]
503	Вы потеряли ^I[%lu] золот^L[ой;ых;ых]
504	Вы потеряли еды на ^I[%lu] д^L[ень;ня;ней]
505	Чтение...
506	Родерик
507	Алексис
508	Серена
509	Золтан
510	Святой
511	Ангельская
512	Великолепная
513	Почтенная
514	Уважаемая
515	Средняя
516	Плохая
517	Отталкивающая
518	Презренная
519	Чудовищная
520	Ужасная
521	Здесь ничего нет
522	Стоимость
523	Отозвать Маяк
524	Вы снова обхитрили смерть! …
525	Аптекарь
526	Время
527	Спасибо!
528	Больше ничего не могу предложить.
529	"Мне жаль, но обучить вас я не в силах."
530	Луна
531	Место
532	Зайдите через 
533	"Не могу к вам присоединиться, ваш отряд полный"
534	Получить степень ^Pr[%s] в навыке ^Pr[%s] за ^I[%lu] золот^L[ой;ых;ых]
535	Обучиться
536	"С вашими навыками вам впору работать здесь учителем."
537	Обучиться до уровня ^Pr[%d] за ^I[%lu] золот^L[ой;ых;ых]
538	Вам требуется еще ^I[%d] единиц^L[а;ы;] опыта для обучения до уровня ^Pr[%d]
539	Купить предметы
540	Продать предметы
541	Опознать предметы
542	Починить предметы
543	Особые вещи
544	Советую вам %s %s поискать знания еще где-нибудь
545	Замок Айронфист
546	Нью-Сорпигаль
547	Свободная Гавань
548	Арена
549	Блэкшир
550	Кригспайр
551	Белый Колпак
552	Серебряная Бухта
553	Даркмор
554	Остров Тумана
555	Залив Бутлег запад
556	Вулкан
557	Остров Отшельника
558	дитя
559	Остров Север
560	Остров Юг
561	"Извините, приходите в другой день"
562	делать что-нибудь
563	Снаряжение укомплектовано!
564	Ик...
565	Сначала выпейте напиток...
566	Закат
567	Ночь
568	Палица
569	Готово!
570	Как новенький!
571	Б. заклинание: %s
572	Пролистать влево
573	Пролистать вправо
574	"Добро пожаловать на Арену жизни и смерти. Помните, вы можете провести только один бой на арене за визит. Чтобы вступить в бой на арене выберите вариант, который наиболее полно описывает ваши способности и возвращайтесь ко мне... если выживете..."
575	Пожалуйста, подождите пока я вызываю монстров. Удачи.
576	Поздравляю с победой... берите, это ваше... ^I[%u] золот^L[ой;ых;ых].
577	Убирайтесь откуда пришли, слизняки...
578	Паж
579	Оруженосец
580	Рыцарь
581	Лорд
582	Вы уже выиграли этот поход на Арену...
583	На Арене сохранять игру нельзя
584	Щелкните здесь, чтобы убрать Быстрое заклинание
585	Предмет недостаточно высокого качества
586	Не хватает очков магии
587	Атака
588	Урон (сила атаки)
589	Точность попадания
590	Урон (сила стрельбы)
591	Под чарами
592	Сжатие
593	Замедление
594	Слабоумие
595	Жезл
596	Капеллан
597	Дипломат
598	Павший чародей
599	Прелат
600	Мудрец
601	Зомби
602	История
603	Заплатить штраф
604	Охота за вознаграждение
605	Текущий штраф
606	Заплатить
607	Повелеваем
608	Берсерк
609	Час Могущества
610	День Защиты
611	Сыграть в АркоМэйдж
612	Сохраненная игра повреждена! Code=%d
613	AutoSave.MM7
614	Новая игра
615	Сохранить игру
616	Загрузить игру
617	"Настройки звука, клавиатуры, игры..."
618	Выход
619	Вернуться в игру
620	Правила
621	Играть
622	Условия победы
623	Бонус
624	Физич.
625	Иммунитет
626	Устойчивости
627	Устойчив
628	Заклин.
629	Заклин.
630	?
631	Эффекты
632	Этот уровень навыка не может быть постигнут классом %s.
633	Вы должны достичь звания %s для обучения этому уровню навыка.
634	Вы должны достичь звания %s или %s для обучения этому уровню навыка.
635	%s отнимает %lu ед. здоровья и оглушает ^Pv[%s]
636	%s отнимает %lu ед. здоровья и парализует ^Pv[%s]
637	%s уклоняется от удара
638	Поблизости враждебные создания!
639	Ничья!
640	Вы выиграли!
641	Вы проиграли!
642	Ошибка
643	построив Башню!
644	построив Стену, так как в построении Башни ничья!
645	разрушив Башню!
646	по количеству ресурсов!
647	по количеству ресурсов, так как по построению Стены и Башни ничья!
648	Этот персонаж не может больше вызывать монстров!
649	Вызвано
650	Текущее здоровье
651	Закаленный
652	Вы не можете это сделать под водой!
653	Еда
654	Сосуд %s
655	Сосуд %s
656	Игра сохранена!
657	Дышать водой
658	Взять приз
659	x: %d y: %d
660	Вы тонете!
661	Вы горите!
662	Инструкторы
663	Потребуется ^I[%d] д^L[ень;ня;ней], чтобы дойти до ^Pr[%s].
664	Щелкните здесь для утверждения состава отряда и продолжения игры.
665	Кнопка ОК
666	Сбрасывает все параметры и навыки отряда.
667	Кнопка Очистить
668	Вычесть
669	"Вычитает очко из выделенного навыка, возвращая его в накопитель очков"
670	Добавить
671	"Добавляет очка к выделенному навыку, забирая его из накопителя очков"
672	"За многочисленные преступления и злодеяния вы были приговорены к одному году заключения."
673	На вас наложен штраф в размере ^I[%lu] золот^L[ой;ых;ых]. Заплатите штраф сейчас или предпочитаете быть приговоренным к одному году тюрьмы?
674	Врем. Сила
675	"Отличная работа! После активации Врат тысячи миров лежат у ваших ног. Возможно, в одном из них вы найдете самих Древних и возвратитесь в свой мир и свое королевство с плодами их великой цивилизации."
676	"Блестяще! Завершение строительства Небесной кузницы позволило получить достаточное количество оружия Древних, чтобы сокрушить любое сопротивление вашим планам. Скоро мир будет у ваших ног! Однако вам по-прежнему любопытно, что же такое изо всех сил пытался построить противник по другую сторону Врат. "
677	Свят.
678	Имм. к Огню
679	Имм. к Грому
680	Имм. к Холоду
681	Имм. к Яду
682	Имм. к Мысли
683	Имм. к Магии
684	Временно
685	%s не умеет варить %s!
686	У вас не хватает реагентов!
687	Вы не знаете рецепт, по которому готовится %s!
688	У вас не хватает пустых бутылок!
689	Освятить воду %d золотых
690	Всегда
691	"Извините, но этот %s не подлежит перезарядке."
692	"Я могу восполнить этот %s до %d зарядов всего за %d золотых."
693	Оценка
694	Базовое значение
695	%s отнимает %lu ед. зд. и повр. броню ^Pv[%s]
696	%s наносит %lu урона ^I[%lu] монстр^L[у;ам;ам]
697	%s наносит %lu урона ^I[%lu] монстр^L[у;ам;ам] и убивает %lu из них
698	Охотник
699	Стихийный мод, вер. 2.1
700	Чёрное зелье выпито
701	Уменьшение урона (в среднем)
702	с учётом расы
703	"Люди - самая обычная раса Антагарича и не имеют особенных преимуществ.  Несмотря на это, люди встречаются по всему континенту.  Говорят, удача благоволит им.  У людей нет расового оружия, но они быстро учатся и могут преуспеть в любом деле."
704	"Эльфы умные и ловкие, но физически слабые.  Однако, их талант к магии превосходит другие расы.  Эльфы уделяют особое внимание стрельбе из лука."
705	"Гоблины сильные и быстрые, но весьма тугодумные.  Они могут выдержать тяжёлые ранения, но их запас магии довольно скромен.  Гоблины сражаются чем придётся, хотя большинство племён предпочитают различные длинные мечи."
706	"Гномы сильные и выносливые, но медленные и неуклюжие.  Их запас здоровья превосходит любую другую расу.  Гномы очень любят топоры, и даже их клирикам разрешается использовать топор в бою."
707	"Вы не можете прочитать это, если даже не знаете, что это!"
708	%s поглощает заклинание
709	Получить степень Великого Магистра в навыке ^Pr[%s] за ^Pv[%s]
710	"У вас нет почти никакого практического опыта в навыке ^Pr[%s], так что вы не можете его улучшить."
711	"Ваш опыт ^Pr[%s] ещё пока слишком мал.  Практикуйтесь больше, чтобы получить возможность обучаться."
712	"Хотя вы уже использовали навык ^Pr[%s] раньше, этого пока недостаточно, чтобы стать Магистром."
713	"Вам нужно ещё совсем немного практики в ^Pp[%s], и затем вы сможете учиться!"
714	Открыть правую сумку
715	Ножей
716	"Извините, но эти %s не подлежaт починке."
717	"Я могу починить эти %s, увеличив число ножей до %d, всего за %d золотых."
718	Аура враждебности
719	"Вы не можете больше телепортироваться к маякам сегодня!"
720	Испорчено
721	Налоги
722	Можно изучить
723	Нельзя изучить
724	Уже изучено
