Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes		
0																		
1	item001	Простой длинный меч	50	Weapon	Sword	3d3	0	8	1	Длинный меч	1	0	0	5	120	Этот длинный меч, зазубренный и неровный, - все еще эффективное оружие.		
2	item002	Сабля Эльфов	200	Weapon	Sword	3d3	3	8	5	Сабля	1	0	0	6	153	Обычное оружие эльфов, эта сабля - штука смертоносная, хотя и не примечательная. 		
3	item003	Острый длинный меч	350	Weapon	Sword	3d3	6	8	9	Длинный меч	1	0	0	-2	118	Хотя этот длинный меч выглядит совсем старым, край его лезвия необычайно острый.  Вполне вероятно, он был заколдован и остается таким в течение всего своего существования.		
4	item004	Грациозный меч	500	Weapon	Sword	3d3	9	8	13	Длинный меч	1	0	0	4	138	Длинный меч высокого качества, имеет монограмму около основания клинка, которая указывает, что он был выкован мастером оружейником Мекориком Слепым около 780-800 гг.		
5	item005	Клинок дуэлянта	650	Weapon	Sword	3d3	12	8	18	Длинный меч	1	0	0	10	142	Эти редкие клинки изготавливались когда-то до Забвения и использовались благородными дуэлянтами, которые хотели бы умереть красиво и остаться в веках.  Среди них нет двух похожих, но за всеми стоят кровавые события.		
6	item006	Двуручный меч	400	Weapon2	Sword	4d5	0	8	1	Двуручный меч	2	0	0	12	146	Этот простой двуручный меч с покрытой кожей рукояткой - типичная форма оружия в Эрафии.		
7	item007	Великий меч	500	Weapon2	Sword	4d5	2	8	9	Двуручный меч	2	0	0	16	142	Эффективный смертоносный меч, применяемый в менее дисциплинированных армиях.  Кузнец этого двуручного меча предусмотрительно добавил бороздку для стока крови вниз от центра лезвия.		
8	item008	Героический меч	800	Weapon2	Sword	4d5	8	8	15	Двуручный меч	2	0	0	14	139	Некоторые мастера мечники считают, что искривленные лезвия немного сильнее, чем прямые и наносят больший урон противнику.  Правда это или не правда, но одно определенно: этот меч сделан с самым превосходным умением.		
9	item009	Палаш	100	Weapon	Sword	3d4	0	8	1	Палаш	3	0	0	6	128	Вороненый палаш широко используется во всех армиях Эрафии.		
10	item010	Стальной палаш	300	Weapon	Sword	3d4	4	8	7	Палаш	3	0	0	5	113	Прекрасный эрафийский стальной палаш превосходного качества и заточки.		
11	item011	Меч Чемпиона	600	Weapon	Sword	3d4	10	8	13	Палаш	3	0	0	2	123	Это чудесное оружие больше напоминает короткую широкую кривую саблю, чем палаш, и сохраняет остроту несмотря на возраст.		
12	item012	Тесак	40	Weapon	Sword	2d4	0	7	1	Тесак	4	0	0	6	98	Стреловидная форма тесака вынуждает противника недооценивать истинную длину оружия.  Многие неопытные мечники лишились жизни из-за этой обманчивой формы.		
13	item013	Тесак Гоблинов	290	Weapon	Sword	2d4	5	7	7	Тесак	4	0	0	0	109	Странная смесь латуни и какого-то другого красноватого металла придает этому оружию странный цвет и необычайную силу.  Гоблины обычно не заботятся о внешнем виде оружия, но когда доходит до убийства, на них можно положиться.  		
14	item014	Регнанский Тесак	590	Weapon	Sword	2d4	11	7	13	Тесак	4	0	0	4	118	Хитроумно замаскированные у рукояти инициалы свидетельствуют о том, что это прекрасное оружие изготовлено Алеком Тейлингом, главным кузнецом Харека IX, Повелителя Регны и Императора Бескрайнего океана.		
15	item015	Кинжал	8	Weapon	Dagger	2d2	0	6	1	Кинжал	5	0	0	-3	75	Простой кинжал, встречающийся повсюду в руках воров и головорезов.		
16	item016	Кинжал Гномов	100	Weapon	Dagger	2d2	2	6	3	Кинжал	5	0	0	7	71	Этот кинжал, который в руках гнома больше похож на короткий меч, является превосходным примером присущих гномам высочайших инженерных и творческих качеств.		
17	item017	Кинжал Зуб Акулы	150	Weapon	Dagger	2d2	3	6	6	Кинжал	5	0	0	14	54	Лезвие этого кинжала - действительно акулий зуб, взятый в водах Спокойного Океана и вставленный в затейливую рукоятку.  Он очень острый и легкий.		
18	item018	Кинжал Убийцы	250	Weapon	Dagger	2d2	5	6	9	Кинжал	5	0	0	14	67	Гарда у этого кинжала складная, что облегчает его маскировку.  Пружина в рукоятке выталкивает гарду очень тихо, когда кинжал вынимается из ножен.		
19	item019	Кинжал мага	300	Weapon	Dagger	2d2	6	6	13	Кинжал	5	0	0	9	75	Это оружие из Времени Чудес, такого острого и прочного края лезвия больше не добиться.		
20	item020	Длинный кинжал	15	Weapon	Dagger	2d3	0	7	1	Длинный кинжал	5	0	0	4	87	Длинный кинжал сочетает в себе увеличенный радиус поражения меча и легкость укрытия кинжала.		
