Q Bit	Quest Note Text	Notes	Owner	
1	Доставьте красное снадобье Судье на Изумрудный остров.	0	Bryan	
2	Доставьте морскую раковину Судье на Изумрудном острове. 	0	Bryan	
3	Доставьте большой лук Судье на Изумрудном острове. 	0	Bryan	
4	Доставьте половую плитку Судье на Изумрудном острове. 	0	Bryan	
5	Доставьте музыкальный инструмент Судье на Изумрудный остров	0	Bryan	
6	Доставьте шляпу изобилия Судье на Изумрудном острове	0	Bryan	
7		Finished Scavenger Hunt	Bryan	
8		Brought red potion	Bryan	0
9		Brought seashell	Bryan	0
10		Brought longbow	Bryan	0
11		Brought tile	Bryan	0
12		Brought instrument	Bryan	0
13		Brought hat	Bryan	0
14		Accepted Fireball wand from Malwick	Bryan	0
15		Able to use boat to get off Emerald Island	Bryan	0
16	Найдите пропавших участников на Изумрудном острове и принесите доказательства Лорду Мархэму.	0	Bryan	0
17		No more docent babble	Bryan	0
18	"Направляйтесь в поместье Лорда Мархэма в Таталии и выкрадите там вазу, затем доставьте ее Вильяму Ласкеру в эрафийскую канализацию."	0	Bryan	0
19	"Направляйтесь к сторожевой башне 6 на болота Дейи и переместите груз с вершины башни к ее основанию. Затем возвращайтесь к Вильяму Ласкеру в эрафийскую канализацию."	0	Bryan	0
20		Watchtower 6. Weight in the appropriate box. Important for Global event 47 (Spy promotion)		0
21	Направляйтесь в Небесный двор на Небеса и убейте Леди Элеанор Кармин. Возвращайтесь с доказательствами к Секнету Андешэдоу на болота Дейи.	0	Bryan	0
22	"Убейте Ромтракса Бессердечного в его пещере в Таталии, затем поговорите с сэром Чарльзом Кихотом."	0	Bryan	0
23		Killed dragon when on Crusader quest	Bryan	0
24	Вызволите Алису Харгривс из башни Вильяма на болотах Дейи, а затем поговорите с Сэром Чарльзом Кихотом.	0	Bryan	0
25		Mini-dungeon Area 5. Rescued/Captured Alice Hargreaves.	Bryan	0
26	Необходимо схватить Алису Харгивз в ее доме в замке Грифонхарт и доставить в башню Уильяма на болотах Дейи.	0	Bryan	0
27	Найдите потерянное место для медитаций в Курганах.	0	Bryan	0
28	"Направляйтесь в Храм Баа в АвЛи и убейте Верховного Жреца, затем возвращайтесь к Варфоломею Хьюму в Хармондейл."	0	Bryan	0
29	"Найдите ключ к шифру в Школе Волшебства в пустыне Бракада, чтобы узнать место расположения могилы Ашвара Ног-Ногота. Найдите могилу, проникните в нее, а затем возвращайтесь к Стефану Сэнду в Бездну."	0	Bryan	0
30	Заберите Идеальный Лук из Цитадели Титанов в АвЛи и верните его Лоренсу Марку в Хармондейл.	0	Bryan	0
31	Выведите из строя подъемник в копях красных гномов, затем возвращайтесь к Стигалу Снику в АвЛи.	0	Bryan	0
32	Заберите Идеальный Лук из Цитадели Титанов в АвЛи и верните его Стигалу Снику в АвЛи. 	0	Bryan	0
33	Вы должны победить пятерых противников, затем возвращайтесь к Леде Роуэн в пустыню Бракада.	0	Bryan	0
34	Уничтожьте всех живых мертвецов в Доме с привидениями на Курганах, затем возвращайтесь к Фредерику Оргу в Эрафию.	0	Bryan	0
35	Проникните в Сокровищницу эльфов замка Наван в Тулареанском лесу и вернитесь к Фредерику Оргу в Эрафию.	0	Bryan	0
36	Успокойте деревья в Тулареанском лесу, поговорив со старейшим деревом, затем возвращайтесь к Лисандру Свиту в пустыню Бракада.	0	Bryan	0
37	Разгадайте секрет проникновения на холм фей в АвЛи и побеседуйте с королём фей.	0	Bryan	0
38	"Получите 10,000 монет в муниципалитетах, затем возвращайтесь к Эбеднизеру Соуэру в Тулареанский лес."	0	Bryan	0
39	Найдите Сердце Леса в Гильдии наемников в Таталии и верните его старейшему дереву в Тулареанском лесу.	0	Bryan	0
40		Talked to the Oldest Tree	Bryan	0
41		Solved Tree quest	Bryan	0
42	Совершите обряд очищения на Алтаре Зла в Храме Луны на острове Эвенмон, затем возвращайтесь к Ребекке Девайн на Небеса.	0	Bryan	0
43	Найдите потерянную пиратскую карту в Приливных пещерах в Таталии, затем вернитесь к Дедалу Фалку на болота Дейи.	0	Bryan	0
44	Уничтожьте Алтарь Добра в Храме Солнца на острове Эвенмон, затем вернитесь к Дедалу Фалку на болота Дейи.	0	Bryan	0
45	"Соберите шесть частей голема и воссоздайте его, затем вернитесь к Томасу Грэю в Школу волшебства"	0	Bryan	0
46		Player Castle. Golem should appear in castle bit.	Bryan	0
47	Найдите в Инкубаторе Книгу Божественного Вмешательства в Бездне и верните ее Томасу Грею в Школу Волшебства.	0	Bryan	0
48	Заберите кувшины мертвецов с Испытательного Полигона и верните их Хавгилду Вайнаку в Бездну.	0	Bryan	0
49	"Посетите три сооружения стоунхендж в Таталии, на острове Эвенмон и в АвЛи, затем возвращайтесь к Энтони Грину в Тулареанский лес."	0	Bryan	0
50		Visited all stonehenges		0
51		Visited stonehenge 1 (area 9)		0
52		Visited stonehenge 2 (area 13)		0
53		Visited stonehenge 3 (area 14)		0
54	"Отыщите кости Короля Гномов в тоннеле между Каменным Городом и Нигоном и поместите их в место вечного покоя в Курганах, затем возвращайтесь к Энтони Грину в Тулареанский лес."	0	Bryan	0
55	Отыщите яйцо дракона в Пещере Дракона в Стране Гигантов и доставьте его Тору Анвину на гору Нигон.	0	Bryan	0
56		Watchtower 6. Taken the weight from the upper gatehouse. Spy promo quest		0
57		Solved the code puzzle. Ninja promo quest		0
58		Destroyed critter generator in dungeon. Warrior Mage promo quest.		0
59		Won five arena championships at [something] difficulty level. Champion promo quest.	Bryan	0
60		Robbed Elven treasury. Black Knight promo quest.		0
61		Collected 10000 gold in bounties. Bounty Hunter promo quest.	Bryan	0
62		Purified the Altar of Evil. Priest of Light promo quest.		0
63		Defaced the Altar of Good. Priest of Dark promo quest.		0
64		Activate boat to area 9. Priest promo quest		0
65		Barrow downs. Returned the bones of the Dwarf King. Arch Druid promo quest.		0
66		Placed Golem torso	Bryan	0
67		Placed Golem left leg	Bryan	0
68		Placed Golem right leg	Bryan	0
69		Placed Golem left arm	Bryan	0
70		Placed Golem left leg	Bryan	0
71		Placed Golem head	Bryan	0
72		Placed Golem Abbey normal head	Bryan	0
73		Finished constructing Golem with Abbey normal head	Bryan	0
74		Finished constructing Golem with normal head	Bryan	0
75	"Вычистите замок Хармондейл и возвращайтесь к дворецкому в таверну За счет заведения в Хармондейле."	Given by butler at the door to the player castle.		0
76	Спасите гномов из Копей Красного Гнома и возвращайтесь к королю Гномов в Каменный Город в Курганы.		Bryan	0
77	Заберите планы из Форта Риверстрайд и верните их королю Эльдриху в замок Наван в Тулареанском лесу.		Bryan	0
78	Спасите Лорена Стила из Тулареанских пещер в одноимённом лесу и доставьте его к королеве Катерине.		Bryan	0
79	Вынесите трубу Грифонхарта из битвы в Тулареанском лесу и верните ее в любую страну по Вашему усмотрению.		Bryan	0
80		Gave plans to elfking	Bryan	0
81		Gave Loren to Catherine	Bryan	0
82		Gave false plans to elfking (betray)	Bryan	0
83		Gave false Loren to Catherine (betray)	Bryan	0
84		Gave artifact to humans	Bryan	0
85		Gave artifact to elves	Bryan	0
86		Gave weapons to humans	Bryan	0
87		Gave weapons to elves	Bryan	0
88		Talked to Catherine	Bryan	0
89		Talked to elfking	Bryan	0
90		Told Catherine about fake prisoner	Bryan	0
91		Told Elfking about fake plans	Bryan	0
92		Fort Riverstride. Opened chest with plans		0
93		Tularean Caves. Got Loren		0
94	Передайте фальшивые планы Риверстрайда королю Эльдриху в Замке Наван в Тулареанском лесу.		Bryan	0
95	Верните самозванца Лорена королеве Катерине в Замке Грифонхарт в Эрафии.		Bryan	0
96		Built Castle to Level 3 (good)NO LONGER USED(Riki)	Bryan	0
97		Built Castle to Level 3 (evil)NO LONGER USED(Riki)	Bryan	0
98		Built Castle to Level 2 (rescued dwarf guy)	Bryan	0
99		Chose the path of Light	Bryan	0
100		Chose the path of Dark	Bryan	0
101	Пройдите через Стены тумана, не убив при этом ни одного противника, и вернитесь к Гэвину Магнусу в Светящийся замок на Небесах.		Bryan	0
102		Completed Proving Grounds without killing a single creature	Bryan	0
103	Возьмите часть алтаря из Храма Света на Небесах и Храма Тьмы в Бездне и верните Ресуректре в Светящийся замок на Небесах.		Bryan	0
104	Направляйтесь в колонию Зод, что в земле Гигантов, и убейте Ксенофекса, затем возвращайтесь к Ресуректре в Светящийся замок на Небеса.	0	Bryan	0
105		Slayed Xenofex	0	0
106	Исследуйте винный погреб в Таталии и возращайтесь к Крэгу Хаку в Светящийся замок на Небеса.	0	Bryan	0
107		Slayed the vampire	0	0
108	Найдите сундук с сосудами Души в Сумеречном Замке в Бездне и верните сэру Канегему на Небеса.	0	Bryan	0
109	Уничтожьте Толберти в его доме в Бездне и верните Куб Власти Роберту Мудрому на Небеса.	0	Bryan	0
110		Finished Necro Proving Grounds	Bryan	0
111		Finished Necro Task 2 - Temple of Light	Bryan	0
112		Finished Necro Task 3 - Soul Jars	Bryan	0
113		Finished Necro Task 4 - Clanker's Lab	Bryan	0
114		Finished Wizard Proving Grounds	Bryan	0
115		Finished Wizard Task 2 - Temple of Dark	Bryan	0
116		Finished Wizard Task 3 - Wine Cellar	Bryan	0
117		Finished Wizard Task 4 - Soul Jars	Bryan	0
118		Killed Good MM3 Person	Bryan	0
119		Killed Evil MM3 Person	Bryan	0
120		Got Hive part	Bryan	0
121		Got the sci-fi part	Bryan	0
122	Возьмите часть алтаря из Храма Света на Небесах и Храма Тьмы в Бездне и верните Кастору в Бездну.	0	Bryan	0
123	Направляйтесь в Колонию Зод, что в земле Гигантов и убейте Ксенофекса, затем возвращайтесь к Кастору в Бездну.	0	Bryan	0
124	Возьмите сундук с сосудами Души у Чернокнижников с Горы Громового Кулака и отнесите Максимусу в Бездну.	0	Bryan	0
125	Разрушьте волшебную защиту в лаборатории Кланкера и возращайтесь к Дарку Шейду в Бездне.	0	Bryan	0
126		Destroyed the magical defenses in Clanker's Lab	0	0
127	Уничтожьте Роберта Мудрого в его доме на Небесах и возвращайтесь к Толберти в Бездну.	0	Bryan	0
128	Пройдите Инкубатор и возвращайтесь к Арчибальду в Бездну.	0	Bryan	0
129		Completed Breeding Pit.	0	0
130	Идите к Линкольну на море на Запад от АвЛи, возьмите Волновой Разрушитель и верните Ресуректре на Небеса.	0	0	0
131	Идите к Линкольну на море на Запад от АвЛи, возьмите Волновой Разрушитель и верните Кастору в Бездну.	0	0	0
132		Butler only shows up once (area 2)	Pete	0
133		Player castle timer only happens once	Pete	0
134		Arbiter Messenger only happens once	Pete	0
135		Player castle goblins are all dead	Riki	0
136		Party doesn't come back to Out01 temple anymore	Bryan	0
137		Artifact Messenger only happens once	Riki	0
138		Killed specific monster (Armsmaster GM quest) - important for Bob	Bryan	0
139		Completed fountain quest (Water Magic GM) - important for Bob	Bryan	0
140		Cleaned out the haunted mansion (Cavalier promo)	Bryan	0
141		"Only give Markham's vase once (Markham's manor, Thief promo)."	Bryan	0
142		Killed all monsters in Haunted mansion	Bryan	0
143		Killed all monsters in Bandit cave	Bryan	0
144		Alice Hargreaves in building only once	Bryan	0
145		Membership to the School of Sorcery Scroll Shop	Bryan	0
146	Поговорите с гномами из Каменного Города, что на Курганах, чтобы найти способ восстановить замок Хармондейл.	0	0	0
147		Gave artifact to arbiter	Bryan	0
148		Got Lich Jar from Walls of Mist	Bryan	0
149		Got Lich Jar from Thunderfist Mountain	Bryan	0
150		Got Lich Jar from Castle Gloaming	Bryan	0
151	"Войдите в Бездну через Пантеон Бездны на болоте Дейи, затем поговорите с Арчибальдом в Сумеречном замке в Бездне."	0	0	0
152	"Взойдите на Небеса через великий телепорт в Пустыне Бракада, затем поговорите с Гэвином Магнусом в Светящемся замке на Небесах."	0	0	0
153	Выберите другого судью, чтобы сменить судью Грея на должности Судьи в Хармондейле.	0	0	0
154		Got Scroll of Waves	0	0
155	Добудьте в Курганах Фонарь Света и верните его Тарину Витерну в Хармондейл.	Barrow Lantern Quest	James	0
156	Возьмите из лабиринта в Нигоне останки Халдара и верните их Мэзиму Даску в Нигон.	Haldar's Remains Quest	James	0
157	Возьмите перстень с печатью Дэврика из Пещер бандитов, что расположены на северо-востоке от Эрафии, и доставьте его Дэврику Пеладиуму в Хармондейл.	Davrik's Ring Quest	James	0
158	Возьмите запечатанное письмо Лорда Мархэма в поместье Лорда Мархэма в Таталии для сборщика Норберта Траша.		James	0
159	Верните Перо Парсона Норберту Трашу в Эрафию.		James	0
160		Got Signet ring out of chest	Tim	0
161		Got magic dust out of chest 	Tim	0
162		Got lantern of light	Tim	0
163		Got perfect bow out of chest	Tim	0
164		Visited Obelisk in Area 2	Riki	0
165		Visited Obelisk in Area 3	Riki	0
166		Visited Obelisk in Area 4	Riki	0
167		Visited Obelisk in Area 5	Riki	0
168		Visited Obelisk in Area 6	Riki	0
169		Visited Obelisk in Area 7	Riki	0
170		Visited Obelisk in Area 8	Riki	0
171		Visited Obelisk in Area 9	Riki	0
172		Visited Obelisk in Area 10	Riki	0
173		Visited Obelisk in Area 11	Riki	0
174		Visited Obelisk in Area 12	Riki	0
175		Visited Obelisk in Area 13	Riki	0
176		Visited Obelisk in Area 14	Riki	0
177		Visited Obelisk in Area 39	Riki	0
178		Open final Obelisk Chest	Riki	0
179	Возьмите запечатанное письмо для Короля Фей в чертоге под холмом в АвЛи.		Bryan	0
180	Возьмите волшебную свирель для Иоханна Кэррида в Тулареанский лес.		Bryan	0
181	В течение двух недель необходимо прибыть в Гильдию наемников и поговорить с Найлзом Стэнтли.	Goto Merc Guild	Bryan	0
182	Выкрадите гобелен из дружественного вам замка и верните его Найлзу Стэнтли в гильдию наемников в Танталии.	Do the Merc Guild Quest	Bryan	0
183		Failed either goto or do guild quest	Bryan	0
184		Killed all castle monsters	Bryan	0
185		Killed all outdoor monsters	Bryan	0
186	Убейте всех троглодитов под Каменным Городом и возвращайтесь к Спарку Бернкайндлу в Каменный Город.	0	Bryan	0
187	Убейте всех грифонов в Эрафии и пустыне Бракада и возвращайтесь к Сэту Дракксону на болота Дейи.	0	Bryan	0
188		Killed all Erathian Griffins	Bryan	0
189		Killed all Bracada Desert Griffins	Bryan	0
190		Finished with Malwick & Assc.	Riki	0
191		Turn on map in mdtXX(Dwarven Barrow)	Riki	0
192		Turn on map in mdkXX(Dwarven Barrow)	Riki	0
193		Turn on map in mdrXX(Dwarven Barrow)	Riki	0
194	"Выясните судьбу брата Даррона в Пещерах Белого утеса, затем возвращайтесь к Даррону Темперу в Хармондейл."	0	0	0
195	Возьмите Палантин Времен Года из Пантеона Бездны и верните его Гэри Зимму в пустыне Бракада.	0	0	0
196		Find second entrance to Watchtower6	James	0
197		Entered Faerie Mound	James	0
198		Archibald in Clankers Lab now	0	0
199		Take the Associate's Tapestry	0	0
200	"Возьмите три статуэтки и поместите их в усыпальницы в пустыне Бракада, Таталии и в АвЛи, затем возвращайтесь к Тому Ламбра в Тулареанский лес."		0	0
201		Placed item 617 in out14(statue)	0	0
202		Place item 618 in out13(statue)	0	0
203		Place item 619 in out06(statue)	0	0
204	Возьмите три картины и верните их Фердинанду Висконти в Таталию.	0	0	0
205	"Необходимо выиграть игру Аркомэйдж во всех тринадцати тавернах, затем возвращайтесь к Джине Барнс в Эрафию."	0	0	0
206		Harmondale - Town Portal	0	0
207		Erathia - Town Portal	0	0
208		Tularean Forest - Town Portal	0	0
209		Celeste - Town Portal	0	0
210		The Pit - Town Portal	0	0
211		Nighon - Town Portal	0	0
