Item#	message text	Location	Item Name
700	"
Приветствую,

Много лет назад, во время предыдущей войны, в одном из набегов эльфы украли у нас артефакт. С того времени им удавалось прятать его, но сейчас они решили поместить его в Тулареанские пещеры, чтобы обеспечить его безопасное хранение.  Мы послали свой отряд, чтобы отбить у них артефакт до того, как они поместят его в пещеры.  Я хотел бы обратиться к вам с просьбой помочь нашим войскам вернуть артефакт.

Спасибо,

Эллен Роквей"	Событие	Послание из Эрафии
701	"
С юытщо яяюгяц эхжььрт щ кичсубыё юсц ый ьисцд. Шмв фчтак, хсдгйе, сё, ъркъч л ихимд. Пбъ яияё флкиярчю. Оюуъы!"	Событие	Шифр
702	"
Зачастую, целостная модель наблюдается в результате относительно редкого скопления эндоплазменных нитей на внутренней стенке импульсного свободнонесущего фронта скачка напряжения, формирующегося при проведении эндокромантии с неверно подготовленными арабитсами. Поскольку кубический корень из i может быть определен только путем измерения трута среди карабинов, ясно, что при проведении опыта варкалось, а хливкие шорьки пырялись по наве. 

Это, очевидно, приводит нас к неоспоримому выводу, что все зелюки хрюкотали, как мюмзики в мове!  Фактически, когда наблюдается такой феномен, можно допустить, что косинус 'А' от дельта 'F' является положительным, а в глуше рымит Брандашмыг. 

Конечно, все элементарно!  Для более глубокого изучения, обратитесь к классическому учению Реголита Вайтсинага и Маларкея. "	"Событие, Школа Волшебства"	Скрижаль волн
703	"
Хотя криптография имеет много разновидностей, в данном руководстве мы будем рассматривать вариант с перестановкой слов, иногда именуемый малым шифром. Проще говоря, две стороны соглашаются об использовании слова или фразы, которые выступают в роли ключа. Затем это слово многократно добавляется в письмо, содержащее зашифрованное сообщение, до тех пор, пока смысл сообщения полностью не теряется. Если, к примеру, ключевое слово было 'ангел', а зашифрованное сообщение было 'нибзп лякэв рцжкшсаю', вы могли бы расшифровать его, как:

нибзп лякэв рцжкшсаю - 
ангел ангел ангеланг =
очень много секретов

где 'н' плюс 'а' получается 'о', 'и' плюс 'н' получается 'ч', а 'б' плюс 'г' также получается 'е'. Обратите внимание, что ключевое слово постоянно повторяется, не считая пробелы и знаки препинания. Если сумма двух букв больше 33, то из суммы необходимо вычесть 33. 

Более сложный шифр может использовать в качестве ключа целую страницу книги, тогда ключ вообще не будет повторяться. Ясно, что такой ключ ТРУДНЕЕ разгадать. Автор искренне надеется, что этот маленький пример шифрования был полезен. Удачи!"	"Player Castle, Event (I believe)"	Основы криптографии
704	"
Милорд,

Прошу Вас прибыть в Гильдию наемников в Таталию через две недели для обсуждения службы, которой Вы владеете совместно со мной, г-н Мальвик. Отказ выполнить настоящее требование может обернуться полным опустошением для Вас лично и для Вашего города.  С нетерпением ожидаю встречи с Вами.

Найлз Стэнтли"	Событие	Послание от г-на Стэнтли
705	"
Детальные планы Форта Риверстрайд, включающие схемы патрулирования и дежурные смены.  Попади они в чужие руки, эти планы могут привести к гибели."	Форт Риверстрайд	Планы Риверстрайда
706	"
Детальные планы Форта Риверстрайд, включающие схемы патрулирования и дежурные смены.  Из-за содержащейся в них дезинформации, эти планы могут стать гибельными для неприятеля, планирующего атаку на Форт."	Событие	Фальшивые планы Риверстрайда
707	"
... не можем больше держаться.  Гоблины получили поддержку от какой-то большой летающей твари и они начали валиться с неба вскоре после того, как мы взяли форт.  Не думаю, что мы продержимся дольше; мне будет не хватать жены и семь..."	Chest in fort in Area 2	Фрагмент солдатского дневника
708	"
Тюремщик Федрил,

Здесь, в Тулареанском лесу, мы построили новые дополнительные сооружения к пещерам; уверен, вам понравится.  Чтобы пробраться к новой секции, необходимо пересечь мост, который мы замаскировали с помощью магии (кто надумает пройти по воздуху?), а затем привести в действие установку телепортов.  Один из телепортов перенесет вас в тюремную секцию; два других - ловушки.

Чтобы сделать гарнизонную службу более безопасной, нам понадобилось захватить в АвЛи нескольких вивернов и маленькое племя троглодитов для охраны тюремной секции пещер.  Имейте в виду, если хотите попасть в эту секцию, хорошенько накормите их - виверны могут быть очень враждебны.

Конечно, мы не несем ответственности за вашу жизнь или за жизнь ваших людей - наша работа надзирать за тюремным комплексом и снизить риск освобождения заключенных или их побега до минимума.  Ваша безопасность в ваших руках.

Найлз Стэнтли"	Тулареанские пещеры	Письмо от г-на Стэнтли
709	"
...Святой Перси держал путь из АвЛи в Бракаду в поисках утерянного копья и много раз терял дорогу. Он не мог определить свое местоположение и все больше блуждал по континенту Эрафии.

Когда он полностью потерял надежду, ему было видение:  когда солнце зайдет на западе, когда луна закатится на севере и когда звезды упадут на востоке, ты найдешь то, что ищешь.

В своем видении Святой Перси обрел надежду и снова направился на поис...
"	"Великий Храм Света, где-то доступный"	Порванная страница
