Skill	Description	Normal	Expert	Master	GrandMaster
Посох	Посох - это двуручное оружие, одинаково хорошо применяется и при нападении, и при защите. Владение посохом на уровне Эксперт увеличивает ваш класс брони, а на уровне Мастер позволяет время от времени оглушать противников.	Навык добавляется к бонусу атаки	Навык добавляется к классу брони	Шанс оглушить противника равен уровню навыка	Возможность использовании посоха с навыком рукопашного боя.
Меч	Навык владения мечом включает в себя владение большинством типов холодного оружия, клинок которого длиннее кинжала. Мечники-эксперты способны атаковать более часто, а мечники-мастера могут драться любым одноручным мечом в левой руке и другим оружием - в правой.	Навык добавляется к бонусу атаки	Навык уменьшает время восстановления	Позволяет пользоваться мечом левой рукой	Навык добавляется к классу брони
Кинжал	"Хотя кинжалом нельзя нанести такой же урон, как мечом или топором, им можно работать очень быстро: иногда на одну атаку вашего более медленного противника может прийтись две ваших. Владение кинжалом на уровне эксперта позволяет держать кинжал в левой руке, а любое другое оружие - в правой. Мастера по владению кинжалом иногда могут наносить по три удара за атаку."	Навык добавляется к бонусу атаки	Позволяет пользоваться кинжалом левой рукой	Вероятность нанесения тройного удара равна уровню владения навыком	Навык добавляется к силе атаки
Топор	"Нанесение удара топором требует большего времени, зато топором можно причинить больший урон. Эксперты по владению топором наносят удары немного быстрее с несколько большей силой."	Навык добавляется к бонусу атаки	Навык уменьшает время восстановления (двойной эффект)	Навык добавляется к силе атаки	Шанс вдвое уменьшить класс брони у противника.
Копье	Под копьем понимается любое оружие, в котором лезвие прикреплено к рабочему концу древка. Копья довольно легки и могут использоваться как одноручное или двуручное оружие (при использовании двумя руками наносятся более сильные удары).	Навык добавляется к бонусу атаки	Навык добавляется к повреждениям.	Возможность использования копья в одной руке.	Навык добавляется к классу брони
Лук	"Навык владения луком включает в себя использование луков и арбалетов. Лучники-эксперты увеличивают скорость атак, а мастера могут выпускать по две стрелы за атаку."	Навык добавляется к бонусу атаки	Навык уменьшает время восстановления	Из лука выпускается по две стрелы за атаку.	Навык добавляется к повреждениям.
Булава	Навык владения булавой включает в себя использование всех типов тупого оружия от дубинок до кистеней. Владение булавой на уровне эксперта позволяет наносить более серьезный урон, мастера могут иногда оглушать противника.	Навык добавляется к бонусу атаки	Навык добавляется к силе атаки	Шанс оглушить противника равен уровню навыка	Шанс парализовать противника равен уровню навыка.
Бластер	"Оружие из времен до Забвения, секрет изготовления в настоящее время утерян. Владение бластером на уровне эксперта и мастера позволяет, соответственно, удвоить и утроить меткость попадания из этого удивительного оружия."	Навык добавляется к бонусу атаки	Двойной эффект навыка; нет штрафа за расстояние	Тройной эффект; навык уменьшает броню цели	Шанс искоренить равен половине навыка
Щит	Навык владения щитом увеличивает класс брони персонажа при использовании щита. Владение щитом на уровне эксперта позволяет действовать быстрее, а уровень мастера позволяет защищать других персонажей.	Навык добавляется к классу брони	Снимается замедление восстановления	Шанс прикрыть союзника равен навыку	Снижает на 25% урон от физических атак
Кожаные доспехи	"Кожаные доспехи - это самые легкие из доспехов, которые может носить персонаж. Кожаные доспехи обеспечивают меньшую степень защиты, чем кольчуга или броня, но при этом меньше замедляют персонажа. Навык ношения кожаных доспехов увеличивает их степень защиты. Эксперты могут носить кожу без замедления атак, а более высокое мастерство даёт полезные умения."	Навык добавляется к классу брони	Снимается замедление восстановления	Шанс поглотить враждебное заклинание равен навыку	Позволяет использовать навык Ловкости
Кольчуга	"Кольчуга занимает промежуточное положение среди доспехов. Кольчуга защищает лучше, чем кожаные доспехи, но хуже, чем броня, однако персонаж становится более неповоротливым, чем в кожаных доспехах. Навык ношения кольчуги увеличивает ее степень защиты. Звания эксперта и мастера снижают степень замедления персонажа."	Навык добавляется к классу брони	Замедление восстановления уменьшается вдвое.	Снимается замедление восстановления	Снижается на треть урон от физических атак.
