Special Bonuses by Group

Bonus Stat	Name Add	Prefix	Weap	Staff	Miss	Arm	Shld	Helm	Belt	Cape	Gaunt	Boot	Ring	Amul	Robe	Crown	Value	Lvl	Craft	Craft description	Description fo special Bonuses and values

+10 ко всем Устойчивостям.	Оберега	N	0	10	0	10	10	10	0	10	0	0	10	10	10	10	1000	B	384	Day of Protection scroll	(+10) на все четыре Устойчивости
+10 ко всем семи показателям.	Богов	N	5	10	5	10	10	10	10	10	10	10	10	10	10	10	2000	C	382	Day of the Gods scroll	(+10) ко всем 7 параметрам
Разрушительный удар!	Бойни	N	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5000	D	396	Dragon Breath scroll	снарядные удары (радиус огн.шара, урона от =повр.оруж.)
Добавляет 3-^H[4;8] единицы урона от Холода.	Холода	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	325	Ice Bolt scroll	(3-4) урона от холода
Добавляет 6-^H[8;16] единиц урона от Холода.	Мороза	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	331	Ice Blast scroll	(6-8) урона от холода
Добавляет 9-^H[12;24] единиц урона от Холода.	Льда	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	247	Freezing potion	(9-12) урона от холода
Добавляет 2-^H[5;10] единиц урона от Грома.	Искр	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	314	Sparks scroll	(2-5) урона от электр.
Добавляет 4-^H[10;20] единиц урона от Грома.	Молнии	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	317	Lightning Bolt scroll	(4-10) урона от электр.
Добавляет 6-^H[15;30] единиц урона от Грома.	Гроз	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	249	Shocking potion	(6-15) урона от электр.
Добавляет 1-^H[6;12] единиц урона от Огня.	Огня	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	301	Fire Bolt scroll	(1-6) урона от огня
Добавляет 2-^H[12;24] единиц урона от Огня.	Пламени	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	303	Fire Aura scroll	(2-12) урона от огня
Добавляет 3-^H[18;36] очков урона от Огня.	Ада	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	246	Flaming potion	(3-18) урона от огня
Добавляет ^H[5;8] единиц урона от Яда.	Отравы	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	500	A	323	Poison Spray scroll	(5) урона от яда
Добавляет ^H[8;12] единиц урона от Яда.	Яда	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	1000	C	328	Acid Burst scroll	(8) урона от яда
Добавляет ^H[12;18] единиц урона от Яда.	Кислоты	N	20	10	20	0	0	0	0	0	0	0	0	0	0	0	2000	D	248	Noxious potion	(12) урона от яда
Высасывает единицы здоровья у жертвы.	Вампирск^R[ий;ая;ое;ие]	Y	5	5	5	0	0	0	0	0	0	0	0	0	0	0	X 2	D	390	Vampiric Weapon scroll	Лечит 20% урона, нанесенного при атаке
Увеличивает скорость выздоровления.	Выздоровления	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	B	250	Swift potion (unused)	(-10) очк. на выздор. от удара
Носитель приобретает устойчивость к Болезням.	Иммунитета	N	0	0	0	10	10	10	10	10	0	0	10	10	10	10	1000	C	225	Cure Disease potion	Иммунитет к состоянию болезни
