										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
1	1	Свет факела	none	С.факела	Свет Факела увеличивает радиус освещенного пространства вокруг вашего отряда в темноте. 	Продолжительность 1 час на очко навыка	Более яркий свет	Еще более яркий свет	Самый яркий свет	P
2	2	Удар огня	Fire	Уд.огня	"Вызывает шквал огня на одну цель. Урон - всего от одного до трех очков на очко навыка в Магии Огня, но заклинание стоит мало. Удар огня - старый надежный приятель в арсенале Волхва."	Медленное восстановление	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PMEC
3	3	Защита от огня	none	З.огня	Повышает устойчивость всех ваших персонажей к огню на количество единиц, равное вашему навыку в Магии Огня, его продолжительность - один час на очко навыка в Магии Огня.	1 единица устойчивости на очко навыка	2 единицы устойчивости на очко навыка	3 единицы устойчивости на очко навыка	4 единицы устойчивости на очко навыка	P
4	4	Аура огня	none	Аура ог.	"Добавляет одному оружию возможность обжигать жертву магическим пламенем. Продолжительность этого заклинания - 1 час на очко навыка в Магии Огня."	Огня	Пламени	Ада	Возможно постоянное зачарование	P
5	5	Ускорение	none	Ускорен.	Сокращает время на восстановление от сотворения заклинания или нападения с оружием. Участники будут слабыми в течение шести часов после того, как пройдет это заклинание. Это заклинание воздействует сразу на весь отряд.	н/д	Продолжительность 1 час + 1 минута на очко навыка	Продолжительность 1 час + 3 минуты на очко навыка	Продолжительность 1 час + 4 минуты на очко навыка	PM
6	6	Огненный шар	Fire	Огн. шар	"Еще один любимец Волхва, Огненный шар, предназначен для поражения отдельных монстров, но при взрыве наносит вред всякому, кто окажется в зоне взрыва. Если ваш отряд находится слишком близко от взрыва, то его участники будут также ранены. Огненный шар наносит 1 - 6 очков урона на очко навыка в Магии Огня."	н/д	Средний уровень восстановления	Быстрое восстановление	Самое быстрое восстановление	PMEC
7	7	Огненный шип	Fire	Огн. шип	Бросает на землю Огненный шип, который взрывается при приближении существа. Огненный шип остается на земле, пока не сработает или пока вы не покинете карту.	н/д	"Наносит 1-6 очков урона на очко навыка, максимум 5 шипов"	"Наносит 1-8 очков урона на очко навыка, максимум 7 шипов"	"Наносит 1-10 очков урона на очко навыка, максимум 9 шипов"	PC
8	8	Кольцо огня	Fire	О.кольцо	Окружает ваших персонажей кругом очень горячего огня, который наносит урон лишь противнику. Заклинание отнимает у всех находящихся в радиусе действия заклинания монстров 1-6 единиц здоровья на очко навыка.  Чтобы отменить это заклинание, зажмите Ctrl и выберите его в книге заклинаний. 	н/д	н/д	Продолжительность 5 минут на очко навыка	Продолжительность 15 минут на очко навыка	PC
9	9	Поток метеоров	Fire	Метеор	Вызывает падение пылающих камней с неба на большом радиусе вокруг выбранной вами цели. Постарайтесь не быть рядом с жертвой, когда пользуетесь этим заклинанием. Один метеор дает 8 очков урона плюс 1 очко на очко навыка в Магии Огня. Это заклинание работает только вне помещения.	н/д	н/д	Средняя скорость восстановления и 10 метеоров	Быстрое восстановление и 20 камней	PMEC
10	10	Адский огонь	Fire	А. огонь	"При сотворении заклинания Адский огонь сгорают все видимые монстры. Хорошо подходит для очищения комнат, наполненных слабыми или средней силы монстрами. Каждый монстр получает по 12 очков урона плюс 1-2 очка на очко навыка в Магии Огня. Это заклинание работает только в помещении."	н/д	н/д	Средняя скорость восстановления	Быстрое восстановление	PC
11	11	Испепеление	Fire	Испепел.	"Одно из сильнейших прямых заклинаний урона, Испепеление наносит сильный урон одному врагу. Кроме того, с шансом 3% на очко навыка в Магии Огня, цель мгновенно умрёт. Даже если монстр избежит мгновенной смерти, он получит урон в 15 очков плюс 1-15 очков на очко навыка в Магии Огня."	н/д	н/д	н/д	Это заклинание лучше не бывает!	PMC
	Lvl	Air Spells	Res		Описание заклинания					
12	1	Око чародея	none	Око чар.	Око чародея показывает на автокарте, находящуюся в верхнем правом углу главного игрового экрана, месторасположение монстров и другие интересные объекты. Продолжительность этого заклинания - 1 час на очко навыка в Магии Воздуха.	Показывает только ландшафт и монстров	Показывает сокровища	Показывает интересные места	Заклинание действует постоянно	P
13	2	Падение пера	none	Пад.пера	Падение пера уберегает ваших персонажей от ранений при падении с высоты более, чем три метра, замедляя скорость падения. Падение Пера воздействует на весь ваш отряд сразу, его продолжительность базируется на вашем навыке в Магии Воздуха. 	Продолжительность 5 минут на очко навыка	Продолжительность 10 минут на очко навыка	Продолжительность 1 час на очко навыка	Увеличивает высоту прыжка	P
14	3	Защита от грома	none	З.грома	Повышает устойчивость всех ваших персонажей к электричеству на количество единиц, равное вашему навыку в Магии Воздуха, его продолжительность - один час на очко навыка в Магии Воздуха.	1 единица устойчивости на очко навыка	2 единицы устойчивости на очко навыка	3 единицы устойчивости на очко навыка	4 единицы устойчивости на очко навыка	P
15	4	Искры	Elec	Искры	"Заклинание Искры выстреливает в мир маленькие шаровые молнии, которые прыгают до тех пор, пока не поразят что-то или не рассеются. Трудно сказать куда они направятся, поэтому заклинание лучше всего использовать в полном маленьких монстров помещении. Каждая искра наносит 2 очка урона плюс 1 очко на очко навыка в Магии Воздуха."	"3 искры за 4 очка магии"	"5 искр за 5 очков магии"	"7 искр за 6 очков магии"	"9 искр за 7 очков магии"	PMEC
16	5	Прыжок	none	Прыжок	"От Прыжка весь ваш отряд подпрыгивает и приземляется в 18 метрах от того места, где стоял. При прыжке ваш отряд не получает урона от падения."	н/д	Средний уровень восстановления	Быстрое восстановление	Самое быстрое восстановление	P
17	6	Щит	none	Щит	Уменьшает наполовину силу попадания снарядов с дальнего расстояния (например, камней и стрел), замедляя снаряды прямо перед их попаданием.	н/д	Продолжительность 1 час + 5 минут на очко навыка	Продолжительность 1 час + 15 минут на очко навыка	Продолжительность 1 час + 1 час на очко навыка	PM
18	7	Молния	Elec	Молния	"Обожаемая волхвами Молния разряжается электричеством из руки заклинателя в отдельную цель. Она всегда попадает и наносит 1 - 8 очков урона на очко навыка в Магии Воздуха."	н/д	Средний уровень восстановления	Быстрое восстановление	Самое быстрое восстановление	PMEC
19	8	Невидимость	none	Невидим.	"Это заклинание не может быть сотворено, если рядом находятся враждебные монстры. Невидимость действует на разум окружающих вас существ, заставляя их не замечать находящийся прямо под носом отряд, до тех пор, пока вы не заговорите с ними или не нападете. Любая атака, успешная или нет, снимает действие этого заклинания."	н/д	н/д	Продолжительность 5 минут на очко навыка	Продолжительность 15 минут на очко навыка	P
20	9	Точный взрыв	Phys	Т. взрыв	"Точный взрыв - это опасное заклинание, которое воздействует на отдельную цель, разрушая воздух вокруг нее, что вызывает резкий приток окружающего воздуха на освободившееся пространство, сопровождающееся хлопком и 10 очками урона плюс 1 - 10 очков урона на очко навыка в Магии Воздуха."	н/д	н/д	Средний уровень восстановления	Быстрое восстановление	PMC
