Stats Descriptions	Description
Сила	"Сила - это показатель, описывающий общую силу персонажа и его способность применять эту силу там, где она потребуется. Персонажи с высоким показателем силы наносят больше урона противнику в бою."
Интеллект	"Интеллект характеризует способности персонажа к оценке и пониманию сложных, абстрактных понятий. Высокий уровень интеллекта добавляет очки магии Волхву, Стрелку, Рейнджеру, Вору и Друиду.  Также он влияет на эффективность жезлов."
Сила духа	"Показатель силы духа представляет собой меру силы воли персонажа и его личного обаяния. Этот показатель влияет на количество очков магии у Клириков, Паладинов, Рейнджеров, Монахов и Друидов.  От силы духа также зависят цены в магазинах."
Выносливость	Выносливость - это мера закалки и физической стойкости персонажа. Высокое значение показателя выносливости добавляет персонажу единицы здоровья.
Меткость	Меткость отвечает за точность и координацию действий персонажа. Высокое значение показателя меткости позволяет персонажу более часто наносить монстрам удары в бою.
Скорость	Скорость показывает, насколько быстрым является персонаж. Высокое значение этого показателя увеличивает класс брони персонажа и скорость, с которой он приходит в себя после атак.
Удача	"Фактор удачи оказывает влияние на весь ход игры, но наиболее заметно его действие на способности персонажа уменьшать получаемый урон, а также замечать больше сокровищ."
Здоровье	Показатель здоровья указывает на максимальное количество урона, которое может перенести персонаж, прежде чем упадет без чувств или умрет. Персонаж теряет сознание при количестве единиц здоровья равном нулю или менее. Здоровье восстанавливается после 8 часов непрерывного отдыха.  Некоторые магические эффекты могут повысить здоровье сверх обычного максимума, однако излишек быстро рассеивается.
Класс брони	"Класс брони показывает, насколько трудно монстру поразить персонаж. Чем выше класс брони, тем больше шансов избежать атаки."
Магия	Очки магии необходимы для произнесения заклинаний. У каждого заклинания есть своя стоимость, выражаемая в очках магии, которые отнимаются от этого показателя при произнесении заклинания. Очки магии восстанавливаются после 8 часов непрерывного отдыха.  Некоторые магические эффекты могут повысить очки магии сверх обычного максимума, однако излишек быстро рассеивается.
Состояние	"Состояние показывает худший из недугов, от которых страдает персонаж, таких как отравление, болезнь или смерть. Многие состояния серьезно влияют на возможность персонажа сражаться, и должны быть исцелены как можно скорее."
Быстрое заклинание	"Быстрое заклинание - это заклинание, которое будет произнесено как только вы нажмете клавишу s или щелкните по монстру мышкой, удерживая клавишу Control. Вы можете выбрать Быстрое заклинание, открыв Книгу Заклинаний (c), затем щелкнув на заклинании, которое вы хотите установить в качестве быстрого, и затем щелкнув на вкладке Установить заклинание внизу Книги Заклинаний."
Возраст	"Возраст показывает возраст вашего персонажа на текущий момент. Первая цифра - это временное значение возраста, а вторая - ваш реальный возраст. Некоторые монстры и магические эффекты могут временно увеличить ваш возраст по сравнению с действительным."
Уровень	Уровень - это мера обучения, которое прошел ваш персонаж. Высокое значение показателя уровня влияет на количество единиц здоровья и очков магии.  Временно повышенный уровень также может давать бонус к уровням навыков.
Опыт	"Опыт - это простой показатель общего понимания природы вещей вашим персонажем. При наличии достаточного количества очков опыта (и небольшого количества золота) вы можете обучить своего персонажа на учебных полигонах, разбросанных по миру игры, для увеличения его показателя уровня и получения очков навыков, которые можно потратить на приобретение различных полезных умений."
Бонус атаки	"Бонус атаки - это суммарный показатель всех факторов (навыки, заклинания, меткость и т.д.), который влияет на вероятность поражения вашим персонажем монстра при помощи выбранного оружия. "
Сила атаки	"Сила атаки - это суммарный показатель всех факторов (сила, заклинания, определенные навыки владения оружием и т.д.), который влияет на величину урона, наносимого вашим персонажем монстрам при помощи выбранного оружия."
Бонус стрельбы	"Бонус стрельбы - это суммарный показатель всех факторов (навыки, заклинания, меткость и т.д.), который влияет на вероятность поражения вашим персонажем монстра при помощи выбранного оружия дальнего боя."
Сила стрельбы	"Сила стрельбы - это суммарный показатель всех факторов (заклинания, бонусы оружия и т.д.), который влияет на величину урона, наносимого вашим персонажем монстрам при помощи выбранного оружия дальнего боя."
Огонь	"Защита от огня представляет собой способность вашего персонажа к минимизации урона от огненных атак. Хотя высокий уровень устойчивости может значительно снизить причиняемый ущерб, он не дает персонажу полного иммунитета."
Гром	"Защита от грома представляет собой способность вашего персонажа к минимизации урона от атак электричеством. Хотя высокий уровень устойчивости может значительно снизить причиняемый ущерб, он не дает персонажу полного иммунитета."
Холод	"Защита от холода представляет собой способность вашего персонажа к минимизации урона от атак холодом. Хотя высокий уровень устойчивости может значительно снизить причиняемый ущерб, он не дает персонажу полного иммунитета."
Яд	"Защита от яда представляет собой способность вашего персонажа к минимизации урона от ядов и кислоты. Хотя высокий уровень устойчивости может значительно снизить причиняемый ущерб, он не дает персонажу полного иммунитета."
Мысль	"Защита от мысли представляет собой способность вашего персонажа к минимизации урона от ментальных атак. Хотя высокий уровень устойчивости может значительно снизить причиняемый ущерб, он не дает персонажу полного иммунитета."
Магия	"Защита от магии представляет собой способность вашего персонажа к минимизации урона от атак чистой магией. Хотя высокий уровень устойчивости может значительно снизить причиняемый ущерб, он не дает персонажу полного иммунитета."
Очки навыков	Очки навыков добавляются вашему персонажу при обучении на следующий уровень. Заработанные очки можно в любое время израсходовать на приобретение новых навыков.
