2D#	Transition Description	
1	Определенно, в этих пещерах обитает большой дракон. А эти останки, разбросанные вокруг его жилища, похоже, принадлежат путешественникам, которые охотились за сокровищем дракона.	Dragon Cave (area 12)
2	Огромный размер и многочисленные украшения поместья Лорда Мархэма сильно контрастируют со скромными домами и лачугами крестьян, расположенными по соседству. 	Lord Markham's Manor
3	Судя по свалке и кучам разлагающегося мусора на земле, не одно поколение бандитов скрывалось в этой пещере от закона. 	Bandit Caves
4	Некогда величавый особняк, этот старый дом теперь покинут его прежними владельцами. Нынешние его обитатели, похоже, не слишком усердно следят за порядком.	Haunted Mansion
5	Вход в этот курган выглядит симпатично, но всё же не гостеприимно. У входа очень тихо.	Barrow
6	Вход в этот курган выглядит симпатично, но всё же не гостеприимно. У входа очень тихо.	Barrow
7	Вход в этот курган выглядит симпатично, но всё же не гостеприимно. У входа очень тихо.	Barrow
8	Дверь не заперта и снаружи не охраняется. Железная дверная ручка заржавела, а в углу над дверью висит небольшое осиное гнездо. 	Tower
9	Из входа в пещеру гадко пахнет, этот запах разносится незаметным подземным ветерком. Пахнет будто гниющим мясом, серой и... мятой? Ну да неважно. Выглядит опасно. 	Dragon Cave (area 13)
10	Скромное жилище какой-то не очень важной персоны... Или, по крайней мере, кого-то, кто хочет таким казаться. 	Small House (assassination)
11	Должно быть, в этой усыпальнице покоится какой-то чудаковатый отшельник. Похоже, эту усыпальницу давно никто не беспокоил.	Hidden Tomb
12		
13		
14		
15		
16		
17		
18		
19		
20		
21		
22		
23		
24		
25		
26		
27		
28		
29		
30		
31		
32		
33		
34		
35		
36		
37		
38		
39		
40		
41		
42		
43		
44		
45		
46		
47		
48		
49		
50		
51		
52		
53		
54		
55		
56		
57		
58		
59		
60		
61		
62		
63		
64		
65		
66		
67		
68		
69		
70		
71		
72		
73		
74		
75		
76		
77		
78		
79		
80		
81		
82		
83		
84		
85		
86		
87		
88		
89		
90		
91		
92		
93		
94		
95		
96		
97		
98		
99		
100		
101		
102		
103		
104		
105		
106		
107		
108		
109		
110		
111		
112		
113		
114		
115		
116		
117		
118		
119		
120		
121		
122		
123		
124		
125		
126		
127		
128		
129		
130		
131		
132		
133		
134		
135		
136		
137		
138		
139		
140		
141		
142		
143		
144		
145		
146		
147		
148		
149		
150		
151		
152		
153	Правитель Уилбур Хамфри, верховный Паладин, и принц Николай Айронфист, наследник трона Энрота, оба живут в замке Айронфист.	
154		
155	Лорд Альберт Ньютон, верховный волхв Энрота, живёт в замке Ньютон.	
156		
157	Лорд Озрик Темпер, верховный Рыцарь, живёт в замке Темпер.	
158		
159	Лорд Энтони Стоун, верховный Жрец Свободной Гавани, живёт в Замке Стоун.	
160		
161	Леди Лоретта Флайс, канцлер Казначейства, живёт в замке Флайс.	
162		
163	Эрик фон Стромгард, маркиз Северных Пределов, живёт в замке Стромгард.	
164		
165	Оракул дал правителям Энрота мудрость на все времена.	
166		
167		
168		
169		
170	Placeholder Text	
171	Placeholder Text	
172	Placeholder Text	
173	Перед вами главный вход в ваше новое жилище. 	Castle Harmondale
174	Placeholder Text	Placeholder
175	Перед вами главный вход в замок Грифонхарт. Над замком часто можно видеть пару парящих ручных грифонов. 	Castle Gryphonheart
176	Placeholder Text	Placeholder
177	Замок Наван - традиционное место жительства эльфийской власти. Вековая растительность, окружающая замок, дополняет его лесной вид. 	Castle Navan
178	Placeholder Text	Placeholder
179	Кто знает, почему Некромантам захотелось построить замок глубоко в земных недрах? Сумеречный замок выглядит зловещим, страшным и очень, очень неприступным.	Castle Gloaming
180	Placeholder Text	Placeholder
181	Парящий над облаками Светящийся замок получает в год больше солнечного света, чем какой-либо другой. Его элегантная архитектура отлично подчёркивается погодными условиями. 	Castle Lambent
182	Placeholder Text	Placeholder
183	Placeholder Text	
184	Placeholder Text	
185	Placeholder Text	
186	Placeholder Text	
187	Placeholder Text	
188	Placeholder Text	
189	Placeholder Text	
190	Placeholder Text	
191	Капание воды и странный, непонятный скрип - вот все звуки, которые доносятся из входа в эту пещеру. 	Temple of the Moon
192	Определенно, в этих пещерах обитает большой дракон. Может, пропавшие искатели приключений здесь...	Dragon's Lair
193	Перед вами главный вход в ваше новое жилище.	Castle Harmondale
194	Эти пещеры - традиционное укрытие гоблинов и разбойников. Кто бы там ни жил, пахнет от него не очень-то приятно...	White Cliff Caves
195	Сточная вода льётся из огромной сливной трубы, выходящей из эрафийской канализации. Говорят, здесь можно отыскать Гильдию Воров.	Erathian Sewer
196	Этот мощный форт отлично охраняет Восточный мост от захватчиков. Похоже, гостей здесь не ждут.	Fort Riverstride
197	В пещеру ведут свежие человеческие или эльфийские следы, а недавно кто-то расчистил здесь бурьян и кусты. 	Tularean Caves
198	Из-за двери слышны слабые звуки далёких взрывов и сумасшедший хохот. В воздухе носится резкий кислый запах.	Clanker's Laboratory
199	Пугающее зрелище призрачных когтей и демонических фигур манит вас внутрь. Вы слышите, как вдалеке поёт женский голос, но не можете разобрать слова. 	Hall of the Pit
200	Шестая сторожевая башня, последняя из тех, что некогда охраняли границы Дейи, вся в боевых шрамах, но по-прежнему готовая к действию.	Watchtower 6
201	Резкий волнующий запах магии наполняет воздух снаружи школы. Это результат сотен лет магических опытов и юношеских проказ, случавшихся в одном и том же месте. 	School of Sorcery
202	Хотя гномы недавно покинули это место, до сих пор видно, сколько труда и заботы они вложили в этот рудник. 	Red Dwarf Mines
203	Стены Тумана - испытательный полигон Чародеев, парит на облаках, как небесное видение. Это всецело магическое сооружение. 	Walls of Mist
204	Храм Света - одно из самых красивых и безмятежных мест в мире. Любой идущий по пути Света, попав в эти священные залы, чувствует, что его тревоги улетучиваются. 	Temple of the Light
205	Предателей и военнопленных часто бросают в эту жуткую бездну, чтобы дать показательный урок жестокости. Чтобы сдать экзамен, каждый некромант также должен войти в бездну и выбраться из неё. 	Breeding Zone
206	Храм Тьмы по-прежнему используют силы зла. Каждый месяц они приносят жертвы и регулярно проводят отвратительные обряды на его ступенях. 	Temple of the Dark
207	Из входа довольно отчётливо слышны звуки дьявольского пения, вскрики и стоны живых мертвецов. 	Grand Temple of the Moon
208	Чересчур разросшийся и измученный непогодой, Великий Храм Солнца знавал и лучшие времена. Похоже, за этим местом кто-то до сих пор ухаживает. 	Grand Temple of the Sun
209	Чернокнижники Нигона считают этот потухший вулкан своим домом. От горы расходится сеть естественных и рукотворных туннелей, посредством которых можно путешествовать по всему Нигону и даже за море. 	Thunderfist Mountain
210	В пределах видимости перед вами раскинулся огромный магический лабиринт. При долгом его рассматривании в глазах начинает рябить, а мысли путаются. 	The Maze
211	Каменный город - один из крупнейших в мире бастионов расы гномов. Входные ворота кажутся очень крепкими. 	Stone City
212	Слова не могут передать весь ужас. Одна из труб, должно быть, вход...	Colony Zod
213	В Гильдию наемников вступают все мечники, из которых не получились разбойники. Гостей не принимают.	Mercenary Guild
214	В этих пещерах веками скрывались пираты и разное отребье.	Tidewater Caverns
215	Вниз по лестнице в темноту уходит цепочка зловещих коричневых пятен...	Wine Cellar
216	Мощная крепость, в которой обитают фантастические кровожадные титаны. Ещё никто не возвращался оттуда живым.	Titans' Stronghold
217	Некогда гордый центр ложной религии, ныне Храм стал ветхим. 	Temple of Baa
218	Не похоже, что внутрь будет легко попасть. Осторожно, не сбейтесь с пути. 	Hall under the Hill
219	Этот невероятный звёздный корабль - лишь малый пример чудес, сотворённых Древними. 	The Lincoln
220	Громогласный рёв пронзил ваши уши. Издавшее его существо подходит всё ближе, каждым шагом сотрясая землю под вашими ногами.	Tunnels to Eeofol
221	По мере углубления в обширную сеть туннелей, вы кожей чувствуете, что здесь обитает множество опасных тварей. Главное - сохранять бдительность.	Thunderfist Mountain
222	Этот тоннель ведет к Каменному городу.	Nighon Tunnels
223	Говорят, эта святыня построена вокруг портала в Стихийные Планы. Здесь живут загадочные Джинны, по древнему договору служащие Бракаде. Искатели сокровищ редко возвращаются обратно.	Altar of Wishes
224	Placeholder Text	
225	Placeholder Text	
226	Placeholder Text	
227	Placeholder Text	
228	Placeholder Text	
229	Placeholder Text	
230	Placeholder Text	
231	Placeholder Text	
232	Placeholder Text	
233	Placeholder Text	
234		
235		
236		
237		
238		
239		
240		
241		
242		
243		
244		
245		
246		
247		
