#	Greeting 1	Greeting 2	Notes	Owner
1	"Я - Лорд Мархэм, благотворитель. Это я предоставил замок в качестве приза для победителя состязания."	"Рад снова видеть вас. Как успехи в поисках?"		Markham
2	"Приветствую, меня зовут Томас. Я судья состязания. "	Вы уже добыли что-нибудь из списка?		Judge
3	"Добро пожаловать на Изумрудный остров! Меня зовут Маргарита, я буду вашим помощником здесь."	Что бы вы хотели узнать?		Docent
4	"Привет, меня зовут Айлисса! Я - менестрель, моя работа - контролировать увеселительные мероприятия на Изумрудном острове во время проведения Гонки за мусором."	"Привет ещё раз! Как дела?"		Bard
5	"Эй, привет! Я - Салли. Редко встретишь кого-нибудь так далеко от города. Вы случайно не заблудились?"	Всё ещё здесь? Город - далеко к югу отсюда.		Sally
6	"Тс-с-с! Идите сюда, у меня есть к вам дело."	"А, вы наверняка вернулись, чтобы выслушать моё предложение. "		Malwick
7	"Привет, странник <подмигивает>. Хорошая погодка, не правда ли?"	"Вам что-то нужно, странник? <шепчет> Уходите от меня, вы что, нарочно пытаетесь попасться?"		Malwick
8	"Привет, приятель! Можно вас на пару слов?"	Привет ещё раз... дружище.		Sal
9	Не думаю, что нам есть о чём разговаривать. 	Не думаю, что нам есть о чём разговаривать. 		Malwick
10	"Приветствую, рад вас видеть. Я - Брент Филиант, участник Гонки за мусором, которую проводит Лорд Мархэм."	"Приветствуем вас снова, друзья."		Brent
11	"Здравствуйте, я - Кэролин. Я заведую приёмом в гильдии Огня и Воздуха на этом острове."	"Здравствуйте, я - Кэролин. Я заведую приёмом в гильдии Огня и Воздуха на этом острове."		Elemental Guild Membership
12	Меня зовут Роджер, я принимаю новых членов в гильдии Тела и Духа на Изумрудном острове.	Меня зовут Роджер, я принимаю новых членов в гильдии Тела и Духа на Изумрудном острове.		Self Guild Membership
13	"Эй, на судне! Я - Вильям Дарвиc, капитан этого судна. "	"Рад снова видеть вас, приятели!"		
14	"Здравствуйте, меня зовут Донна. Я живу здесь со своей дочерью Салли."	"Здравствуйте, ещё раз. Чем могу помочь?"		Donna
15	"Привет, я - Грант. Тор разрешает мне жить в подсобке мастерской, пока я работаю подмастерьем."	"Привет ещё раз, вам что-то нужно?"		Grant
